Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Cell Cycle, Developmental Process, Biological Regulation, Cellular Homeostasis
GO Term: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Peptide Secretion -> Biodomain: Proteostasis, Vasculature, Endolysosome, Immune Response, Autophagy
GO Term: Negative Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Synapse
GO Term: Positive Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Response to External Stimulus, Epigenetic, Autophagy
GO Term: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Adaptive Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammatory Response, Regulation of Immune Response, Antigen Processing and Presentation, Signal Transduction
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Defense Response, Response to Stress, Response to External Stimulus, Regulation of Response to Stimulus
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Regulatory, Response to Stimulus, Defense Response
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammatory Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Inflammatory Response, Defense Response, Innate Immunity, Response to External Stimulus
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Inflammation, Defense Response, Response to External Stimulus, Regulation of Immune System Process
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, B Cell Mediated Immunity, Regulation of Immune Response, Antibody Production, Adaptive Immune Response
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Trabecular Meshwork Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Synapse
GO Term: Response To Ischemia -> Biodomain: Oxidative Stress, Apoptosis, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Proteostasis, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Trna N1-Guanine Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Trna N2-Guanine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Trna C5-Cytosine Methylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Synapse
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Developmental Biology, Reproductive System, Cell Cycle, Epigenetic, Cell Differentiation
GO Term: Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: System Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Muscle System Process -> Biodomain: Muscle System Process, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Renal System Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Heart Process -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Respiratory System Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Structural Stabilization, Immune Response
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Proteostasis
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Oxidative Stress, Vasculature, Synapse, Mitochondrial Metabolism, Immune Response
GO Term: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Endocrine, Synapse, Immune Response, Oxidative Stress
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Cell Signaling, Heart Function, Circulatory System, Neurotransmission
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Endocrine Process, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, System Process, Biological Regulation, Circulatory System Process, Regulation of Biological Quality
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Renal Water Retention -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Renal Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Renal Water Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Detection Of Nodal Flow -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Heart Induction -> Biodomain: Vasculature, Structural Stabilization, Developmental Process, Organ Development, Morphogenesis
