Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Epidermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Epidermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Cell Signaling, T Cell Biology, Cytokine Signaling, Inflammation
GO Term: Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Synapse, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Melanocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Melanocyte Differentiation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Erythrocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Erythrocyte Differentiation -> Biodomain: Hematopoiesis, Cell Differentiation, Developmental Biology, Regulation of Biological Processes, Cellular Response to Stimulus
GO Term: Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Myoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Regulation Of Osteoblast Differentiation -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Osteoblast Differentiation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Osteoblast Differentiation -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Autophagy, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Epigenetic, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Immune Response, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ketoreductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glycogen Biosynthetic Process -> Biodomain: Metabolic Processes, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Integrin Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Translation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Oxidative Stress
GO Term: Respiratory Burst After Phagocytosis -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Respiratory Burst -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Notch Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Notch Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Action Potential -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Epigenetic
GO Term: Negative Regulation Of Bone Resorption -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Bone Resorption -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cell Size -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Cell Size -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Cell Volume -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Cell Volume -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Positive Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, Cell Cycle, Autophagy
GO Term: Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Membrane Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Negative Regulation Of Striated Muscle Tissue Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Ph Reduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Ph Elevation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Positive Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Vasculature, Apoptosis
GO Term: Positive Regulation Of Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Translational Elongation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy, Oxidative Stress
