Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Activation, Innate Immunity
GO Term: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cellular Response to Stimulus, Cell Communication
GO Term: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peptide Secretion -> Biodomain: Proteostasis, Immune Response, Synapse, Vasculature, APP Metabolism
GO Term: Negative Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Peptide Secretion -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, APP Metabolism
GO Term: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Epigenetic
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Innate Immunity, Adaptive Immunity, Cell Signaling
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cellular Response, Oxidative Stress
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, RNA Spliceosome
GO Term: Trabecular Meshwork Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Ischemia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Vasculature, Immune Response
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Trna N1-Guanine Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Trna N2-Guanine Methylation -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Trna C5-Cytosine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Lipid Metabolism
GO Term: Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: System Process -> Biodomain: Immune Response, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Myelination, Structural Stabilization
GO Term: Muscle System Process -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Renal System Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Heart Process -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Respiratory System Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Circulatory System, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Detection Of Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Endolysosome
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Renal Water Retention -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Renal Sodium Ion Transport -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Renal Water Transport -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Detection Of Nodal Flow -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Heart Field Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Heart Induction -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Immune Response
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Cell Signaling, Developmental Processes, Cell Communication, Cell Differentiation, Morphogenesis
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
