Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Inositol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cysteine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Transsulfuration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cyclooxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Neutral Lipid Metabolism, Glycerolipid Metabolism, Metabolic Process, Mitochondrial Metabolism
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Amino Acid Metabolism  
Hormone Metabolism  
Catabolic Process  
Carboxylic Acid Metabolism  
Small Molecule Metabolic Process
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Autophagy
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Cysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Pentitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Taurine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Oxalate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Amide Metabolism, Small Molecule Metabolism, Catabolic Process
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Amino Acid Metabolism, Metabolism, Carboxylic Acid Metabolism, Catabolism, Small Molecule Metabolism
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Urate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Organophosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ammonia Assimilation Cycle -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Adaptive Immune Response, Leukocyte Mediated Immunity, Immune Effector Process, Response to Stimulus
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Defense Response, Response to Biotic Stimulus, Response to External Stimulus, Response to Stress
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Nitrogen Utilization -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Secondary Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: One-Carbon Compound Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Vasculature, Proteostasis, Synapse
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Oxidative Stress
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Signaling, Cell Surface Receptor, Receptor Activity, Immunoglobulin
