Running with TEMP=0.1, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Regulated Secretory Pathway -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Regulated Secretory Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Positive Regulation Of Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Protein Folding -> Biodomain: Proteostasis, Chaperone-Mediated Protein Folding, Protein Aggregation Response, Synapse, Autophagy
GO Term: Negative Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Positive Regulation Of Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Omegasome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Response To Dopamine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Cellular Response To Dopamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Nucleus Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Golgi Organization -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Localization To Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Fear Response -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Facioacoustic Ganglion Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Vasculature
GO Term: Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Hydrogen Peroxide-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Protein Localization To Kinetochore Involved In Kinetochore Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: L-Lysine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy, Apoptosis
GO Term: Response To Bile Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Cellular Response To Bile Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Glycoside -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Protein Localization To Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Fluoride Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Protein Localization To Ciliary Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Vasculature
GO Term: Response To Lipoic Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
