Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Homeostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Organelle Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Bone Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Positive Regulation Of Exo-Alpha-Sialidase Activity -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Opsonization -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Response To Wounding -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Protein Localization To Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Myelination
GO Term: Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Melanosome Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Endolysosome
GO Term: Negative Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of C-C Chemokine Receptor Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Protein Localization To Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Protein Localization To Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mononuclear Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Cupric Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Cuprous Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Adrenomedullin Receptor Complex -> Biodomain: Signal Transduction, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Glyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Glyoxal Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of L-Dopa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Positive Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Mrna Base-Pairing Post-Transcriptional Repressor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Melanosome Assembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: U2-Type Prespliceosome Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Exon-Exon Junction Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sodium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Myelination, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metabolism, Proteostasis, Immune Response
GO Term: Regulation Of Potassium Ion Import -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Protein Localization To Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Metabolic Processes, Enzyme Regulation, Cell Signaling
GO Term: Regulation Of Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Regulated Secretory Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Regulated Secretory Pathway -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Omegasome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Dopamine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Dopamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Nucleus Organization -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Autophagy
GO Term: Regulation Of Golgi Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Protein Localization To Basolateral Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Endolysosome
GO Term: Positive Regulation Of Fear Response -> Biodomain: Synapse, Vasculature, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Facioacoustic Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Hydrogen Peroxide-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Negative Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Protein Localization To Kinetochore Involved In Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: L-Lysine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Response To Bile Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Bile Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Glycoside -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Localization To Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Fluoride Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Positive Regulation Of Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Cell Cycle
GO Term: Response To Lipoic Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
