Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Acrosome Reaction -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Cardiac Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Glycosylation, Structural Stabilization, Immune Response, Endolysosome
GO Term: Positive Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Vasculature
GO Term: Negative Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Glycosylation, Post-Translational Modifications, Regulation of PTMs, Metabolism
GO Term: Neurofilament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Endolysosome
GO Term: Neurofilament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Angiogenesis Involved In Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Apoptosis
GO Term: Post-Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Spemann Organizer Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Spemann Organizer Formation At The Anterior End Of The Primitive Streak -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Uterus Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic
GO Term: Oviduct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cervix Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Vagina Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Canonical Wnt Signaling Pathway -> Biodomain: Epigenetic, Signal Transduction, Cell Adhesion, Cell Growth and Proliferation, Developmental Biology
GO Term: Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Micturition -> Biodomain: Synapse, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Resting Membrane Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Inhibitory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Membrane Hyperpolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Eye Blink Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Smooth Muscle Contraction Involved In Micturition -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Synaptic Transmission Involved In Micturition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Circadian Temperature Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Relaxation Of Vascular Associated Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Auditory Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Molecular Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Kinocilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cytoskeletal Rearrangement Involved In Phagocytosis, Engulfment -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Generation Of Ovulation Cycle Rhythm -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Immune Response, Proteostasis
GO Term: Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Auditory Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Vestibular Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Inner Ear Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Vestibular Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Inner Ear Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Growth Hormone Secretion -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Negative Regulation Of Growth Hormone Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Somatotropin Secreting Cell Differentiation -> Biodomain: Endocrinology, Cell Development, Neural Development, Cell Signaling, Organ Development
GO Term: Prolactin Secreting Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Corticotropin Hormone Secreting Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Thyroid-Stimulating Hormone-Secreting Cell Differentiation -> Biodomain: Endocrine, Cell Differentiation, Neuronal, Developmental, Immune Response
GO Term: Somatotropin Secreting Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Prepulse Inhibition -> Biodomain: Synapse, Neurological System Process, Behavioral Neuroscience, Sensory Processing, Neuropsychiatry
GO Term: Maternal Process Involved In Female Pregnancy -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Embryonic Process Involved In Female Pregnancy -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Lipid Metabolism
GO Term: Maternal Process Involved In Parturition -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Immune Response, Apoptosis
GO Term: Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Autophagy
GO Term: Microtubule-Based Peroxisome Localization -> Biodomain: Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Platelet Dense Granule Organization -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Urinary Bladder Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Phospholipase C-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Subpallium Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Timing Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Timing Of Subpallium Neuron Differentiation -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Cell Cycle
GO Term: Olfactory Pit Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Positive Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Vasculature
GO Term: Ciliary Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse, Autophagy
GO Term: Stereocilium Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Endolysosome
GO Term: Limb Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Limb Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Receptor Signaling, Neuronal Signaling, Neurotrophic Factors, Cellular Signaling
GO Term: Regulation Of Angiotensin Metabolic Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Regulation Of Exocyst Localization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Female Mating Behavior -> Biodomain: Reproductive Process, Behavior, Neurogenesis, Cell Signaling, Developmental Process
GO Term: Apelin Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Apelin Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Cell Pole -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cloacal Septation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Clathrin-Sculpted Acetylcholine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Clathrin-Sculpted Glutamate Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cytoplasmic Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Endocardium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, APP Metabolism
GO Term: Primitive Hemopoiesis -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Definitive Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Hemangioblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Camera-Type Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Camera-Type Eye Photoreceptor Cell Fate Commitment -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retinal Rod Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Lipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Lipoprotein Lipase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Mesenchymal To Epithelial Transition -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Delamination -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Neuroblast Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lens Induction In Camera-Type Eye -> Biodomain: Developmental Biology, Morphogenesis, Cell Differentiation, Cellular Processes, Cell Signaling
GO Term: Regulation Of Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Cell Growth Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Proliferation Involved In Contact Inhibition -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Detection Of Cell Density -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Anatomical Structure Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Glial Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Immune Response, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Glial Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Negative Regulation Of Glial Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Myelination, Apoptosis, Oxidative Stress
GO Term: Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism, Epigenetic
GO Term: Regulation Of Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of N-Terminal Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Respiratory Burst -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Embryonic Skeletal Joint Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Ovulation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Ovulation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Oocyte Development -> Biodomain: Reproduction, Cell Signaling, Development, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Synapse, Myelination
GO Term: Cilium-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Synapse, Vasculature
GO Term: Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Transdifferentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cilium Movement Involved In Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Cilium Beat Frequency Involved In Ciliary Motility -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cell Diameter -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Membrane Repolarization -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
