Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Positive Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination
GO Term: Generation Of Neurons -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Embryonic Cranial Skeleton Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Embryonic Neurocranium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Embryonic Viscerocranium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Embryonic Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Vasculature, Apoptosis
GO Term: Embryonic Skeletal System Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Oligodendrocyte Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Astrocyte Differentiation -> Biodomain: Synapse, Immune Response, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Astrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Epigenetic
GO Term: Positive Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Epidermis Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: System Development -> Biodomain: Vasculature, Myelination, Synapse, Cell Cycle, Immune Response
GO Term: Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Epigenetic
GO Term: Sebaceous Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Epigenetic
GO Term: Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Semicircular Canal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Autophagy
GO Term: Pigment Granule Organization -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Branching Morphogenesis Of An Epithelial Tube -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Branching Morphogenesis Of A Nerve -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Lipid Metabolism
GO Term: Pigment Granule Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Calcium-Induced Calcium Release Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Sarcomerogenesis -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Tissue Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Erythrophore Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cytoskeleton Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Cytoskeletal Matrix Organization At Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Maintenance Of Presynaptic Active Zone Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Calcium Ion-Regulated Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Spontaneous Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Pronephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Genitalia Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Endolysosome
GO Term: Female Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Male Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Neuron Projection Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Hair Follicle Maturation -> Biodomain: Structural Stabilization, Epithelial, Developmental Biology, Regulation, Integumentary System
GO Term: Erythrocyte Development -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Enucleate Erythrocyte Development -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Inner Ear Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Otolith Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis, Endolysosome
GO Term: Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Negative Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Venous Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Hypophysis Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Cell Cycle
GO Term: Diencephalon Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Myelination
GO Term: Forebrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Brain Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Epigenetic
GO Term: Neural Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, RNA Spliceosome
GO Term: Cell Projection Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Formation Of Anatomical Boundary -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Synapse
GO Term: Leukemia Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Stem Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Stem Cell Development -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Stem Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cellular Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Apoptosis
GO Term: Multicellular Organismal-Level Homeostasis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Homeostasis Of Number Of Cells -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Homeostasis Of Number Of Cells Within A Tissue -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Host-Mediated Regulation Of Intestinal Microbiota Composition -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Homeostasis Of Number Of Retina Cells -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Immune Response
GO Term: Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Efferent Axon Development In A Lateral Line Nerve -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Peripheral Nervous System Neuron Differentiation -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Peripheral Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Peripheral Nervous System Neuron Axonogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Itaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Fuconate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: L-Pipecolate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: L-Xylulose Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Delta7-Sterol 5(6)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Leukotriene-B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Long-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methionine-Glyoxylate Transaminase Activity -> Biodomain: Amino Acid Metabolism, Sulfur Compound Metabolism, Metabolic Processes, Carbohydrate Metabolism, Cofactor and Vitamin Metabolism
GO Term: L-Gulonate 3-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Inositol Oxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Myosin-Light-Chain-Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: N-Acetylglucosamine Deacetylase Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Vasculature, Structural Stabilization, Endolysosome
GO Term: N-Acylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: N-Acylneuraminate-9-Phosphatase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Formylglutamate Deformylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Nadp+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nadh Dehydrogenase (Quinone) (Non-Electrogenic) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nadph Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Nucleoside Monophosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Nucleoside Phosphotransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Omega-Amidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Omega-Hydroxydecanoate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxaloacetate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Phenylpyruvate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol Deacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phosphoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: [Phosphorylase] Phosphatase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Phytanate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Fucokinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Plasmanylethanolamine Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Procollagen Galactosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Propionate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Prostaglandin-E Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Prostaglandin E2 9-Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Putrescine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Retinol Isomerase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Retinol O-Fatty-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Retinyl-Palmitate Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Rhodopsin Kinase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Ribitol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ribosylnicotinamide Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Rna Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Sedoheptulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Sphingomyelin Phosphodiesterase D Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Sphingosine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Steroid Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Steryl-Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sulfur Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Tau-Protein Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Thiamine Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Thiosulfate-Thiol Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Trans-L-3-Hydroxyproline Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Trimethyllysine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Triokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Inorganic Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nitrite Reductase (No-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Myelination, Mitochondrial Metabolism
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Calcium-Dependent Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Immune Response, Oxidative Stress
GO Term: Transforming Growth Factor Beta Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Catecholamine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Amyloid-Beta Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Microfibril Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ethanolamine-Phosphate Phospho-Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Arachidonate 15-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Apoptosis
