Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Acyl Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Endolysosome, Oxidative Stress
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Unknown, RNA Spliceosome, Structural Stabilization, Endolysosome
GO Term: Trna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Urea Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Citrulline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Endolysosome
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfur Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfate Assimilation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, DNA Repair
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Saga Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Epigenetic, Unknown, Unknown, Unknown, Unknown
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Golgi Cis Cisterna -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Trans Cisterna -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Golgi Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Exocyst -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Autophagy
GO Term: Microfilament Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Proteostasis
GO Term: Snare Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Rrna Modification -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Unknown, Epigenetic
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Apoptosis, Endolysosome
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rdna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Unknown
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Unknown
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Epigenetic
GO Term: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, APP Metabolism
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Nuclear Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Pericentriolar Material -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Unknown
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Vasculature
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown, Proteostasis
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Polysaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Spermine Transport -> Biodomain: Oxidative Stress, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Endopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Apoptosis
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Telomerase Catalytic Core Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Unknown
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, DNA Repair
GO Term: Rna Cap Binding -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Unknown, Cell Cycle
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Cell Cycle
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Unknown, Epigenetic
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, RNA Processing, Gene Expression, Macromolecular Complex Assembly, Cellular Metabolism
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Unknown, Unknown, Unknown, Unknown
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Unknown, Unknown, Unknown, Unknown
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Unknown, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, RNA Metabolism, Epigenetic, Proteostasis, Unknown
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Y-Form Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Ekc/Keops Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Synapse, Autophagy
GO Term: Hir Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Pexophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Rrna 2'-O-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Unknown
