Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Cell Cycle
GO Term: Histamine Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Epigenetic
GO Term: Corticotropin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Epigenetic
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Endolysosome
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Vasopressin Receptor Activity -> Biodomain: Synapse, Signaling Receptor, GPCR, Behavior, Hormone Activity
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Epigenetic
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Insulin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Epigenetic
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Osmosensor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Scavenger Receptor Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Signal Sequence Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Protein Kinase C Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Gtpase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Gtpase Activator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Notch Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Patched Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Cell Cycle
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Smoothened Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Toll Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Synapse
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cytokine Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Growth Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Epigenetic
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Prolactin Receptor Binding -> Biodomain: Synapse, Cytokine Signaling, Immune Response, Proteostasis, Epigenetic
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Synapse, Oxidative Stress
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Neuroinflammation, Synapse, GPCR Signaling
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Insulin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Growth Factor Signaling, Structural Stabilization, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Hormone Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Hormone Activity, Signaling Receptor Binding, Molecular Function Regulator, Endolysosome
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Signaling, Molecular Function Regulator, Proteostasis, Apoptosis
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Epigenetic
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
