Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Synapse
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Unknown
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Synapse, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Epigenetic
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Trabecular Meshwork Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Unknown
GO Term: Response To Ischemia -> Biodomain: Oxidative Stress, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Trna N1-Guanine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna N2-Guanine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Trna C5-Cytosine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Regionalization -> Biodomain: Vasculature, Myelination, Cell Cycle, Structural Stabilization, Unknown
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Endolysosome
GO Term: Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: System Process -> Biodomain: Vasculature, Immune Response, Autophagy, Proteostasis, Endolysosome
GO Term: Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Muscle System Process -> Biodomain: Muscle System, Locomotion, Muscle Contraction, Tissue Morphology, Anatomical Structure Development
GO Term: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Renal System Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Respiratory System Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Structural Stabilization
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Epigenetic
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Unknown, Immune Response, Oxidative Stress, Proteostasis
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Renal Water Retention -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Unknown
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Unknown, Proteostasis
GO Term: Renal Sodium Ion Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Renal Water Transport -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Detection Of Nodal Flow -> Biodomain: Unknown, Structural Stabilization, Vasculature, Endolysosome, Autophagy
GO Term: Heart Field Specification -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Heart Induction -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Vasculature, Epigenetic, Immune Response, Proteostasis, Synapse
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Epigenetic, Immune Response, Vasculature, Endolysosome, Unknown
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Unknown
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
