Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Kinase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Kinase Activator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Synapse, Proteostasis, Apoptosis
GO Term: Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis, Synapse
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Neuroinflammation, Synapse, Proteostasis
GO Term: Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Proprioception -> Biodomain: Synapse, Nervous System, Structural Stabilization, Sensory Processing, Motor System
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Response To Pheromone -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Deaminase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Tau Homeostasis
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Epigenetic
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Tau Homeostasis
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Synapse, Immune Response
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Inositol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hexose Biosynthetic Process -> Biodomain: APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Pentose Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dolichol Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, APP Metabolism
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Cyclooxygenase Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Autophagy
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Proteostasis, Endolysosome, Autophagy
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Oxidative Stress
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: L-Lysine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pentitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Taurine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Oxalate Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, APP Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Immune Response
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Urea Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, APP Metabolism
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Epigenetic
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, APP Metabolism, Epigenetic, Proteostasis
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Synapse, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: Secondary Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Signaling, Vasculature, Proteostasis, Endolysosome
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor Signaling, Immune System, Inflammation
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
