Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Vasculature
GO Term: Response To Interleukin-7 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Skin Epidermis Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mechanosensitive Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Biofilm Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Golgi Apparatus Subcompartment -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Global Gene Silencing By Mrna Cleavage -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Membrane Protein Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Plasma Membrane Protein Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Non-Motile Cilium Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Neurotransmitter Reuptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Bmp Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Endoplasmic Reticulum Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Intestinal Folate Absorption -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Vasculature
GO Term: Presynaptic Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Presynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Endolysosome
GO Term: Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Transport Along Microtubule -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Early Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Podocyte Foot -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Sequence-Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Hcn Channel Complex -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Membrane Microdomain -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Actin-Based Cell Projection -> Biodomain: Structural Stabilization, Synapse, Immune Response, Cell Cycle, Vasculature
GO Term: Cluster Of Actin-Based Cell Projections -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Endolysosome
GO Term: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Action Potential Propagation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Epididymosome -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synapse Pruning -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Postsynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Regulation Of Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Synapse, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Presynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Axonal Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Anterograde Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dendritic Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Neuronal Activity, RNA Metabolism, Proteostasis, Structural Stabilization
GO Term: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Glutamatergic Synapse -> Biodomain: Synapse, Neuronal Signaling, Synaptic Plasticity, Excitatory Neurotransmission, Cognitive Function
GO Term: Cholinergic Synapse -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Cellular Structure, Ion Homeostasis
GO Term: Gaba-Ergic Synapse -> Biodomain: Synapse, Neurotransmission, Neural Function, Nervous System, Cell Signaling
GO Term: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neuron To Neuron Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vesicle Tethering -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Vesicle Tethering Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Ceramide Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Tethering To Golgi -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vesicle Scission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Borc Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Supramolecular Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Tau Homeostasis
GO Term: Postsynaptic Specialization Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Proteostasis
GO Term: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Channel Activator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Potassium Channel Activator Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Ion Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
