Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Transport -> Biodomain: Amino Acid Metabolism, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Sulfate Assimilation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Saga Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Golgi Cis Cisterna -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Trans Cisterna -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Golgi Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Exocyst -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Microfilament Motor Activity -> Biodomain: Structural Stabilization, Synapse, Autophagy, Endolysosome, Cell Cycle
GO Term: Snare Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Epigenetic, DNA Repair, Cell Cycle
GO Term: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, DNA Repair
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Rdna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Autophagy, Epigenetic
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Meiotic Spindle Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Nuclear Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Astral Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Pericentriolar Material -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Polysaccharide Catabolic Process -> Biodomain: Autophagy, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair, Proteostasis, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Autophagy, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Oxidative Stress, Structural Stabilization
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Proteostasis
GO Term: Spermine Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Endopolyphosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Immune Response
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Signal Transduction, Protein Phosphorylation, Cell Cycle Regulation, DNA Repair
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Apoptosis, DNA Repair
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomerase Catalytic Core Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, RNA Spliceosome
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Ubiquitin Signaling, Protein Degradation, Cell Cycle
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Y-Form Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Bubble Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Ekc/Keops Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Synapse
GO Term: Hir Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Pexophagy -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
