Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Heparin Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Synapse, Oxidative Stress
GO Term: Estrogen Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Spermine Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Spermidine Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Synapse, Proteostasis
GO Term: Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Metalloexopeptidase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Metallopeptidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Epigenetic
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Nucleotidase Activity -> Biodomain: Synapse, Epigenetic, Immune Response, DNA Repair, Proteostasis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Synapse
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Synapse
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cohesin Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Lipid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Synapse
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Synapse
GO Term: Integrin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Associative Learning -> Biodomain: Cognition, Synapse, Nervous System, Behavior, Multicellular Organismal Processes
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Proteostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Synapse, Structural Stabilization
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Prenyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Autophagy
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Glial Cell Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Differentiation, Endolysosome
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Katanin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Cell Cycle
GO Term: Germ Cell Migration -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Learning or Memory, Behavior, Response to Stimulus
GO Term: Asymmetric Cell Division -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Cell Shape -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cell Size -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Sialyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Galactosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Gene Expression, Proteostasis
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Synapse, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Synapse, Oxidative Stress, Epigenetic, Proteostasis, Immune Response
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Synapse, Lipid Metabolism
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Coa-Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Fucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, APP Metabolism
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, DNA Repair
GO Term: Beta-Glucosidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Jun Kinase Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Endolysosome
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Synapse
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Epigenetic
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Autophagy
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Epigenetic
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Epigenetic
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, DNA Repair
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Pyridoxal Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
