Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mrna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: 'De Novo' Actin Filament Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Fructose Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Extracellular Exosome -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Rna Polymerase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Proline-Rich Region Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Cytochrome Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tear Secretion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Titin Z Domain Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Clathrin-Sculpted Monoamine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Ubiquitin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Chromo Shadow Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Chloride-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Negative Regulation Of Glucagon Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Synapse
GO Term: Positive Regulation Of Glucagon Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Fructose-6-Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Delta-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Epigenetic, Apoptosis
GO Term: Interleukin-27-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ciliary Neurotrophic Factor Receptor Complex -> Biodomain: Synapse, Immune Response, Myelination, Proteostasis, Structural Stabilization
GO Term: Ciliary Neurotrophic Factor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Ciliary Neurotrophic Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Neurogenesis and Neuronal Development, Immune Response, Cell Survival, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Iii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Mitochondrial Translational Initiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Translational Elongation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Translational Termination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Trna Aminoacylation For Mitochondrial Protein Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sumo-Specific Endopeptidase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Response To Uv-A -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Mitochondrial Alanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Mitochondrial Asparaginyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Mitochondrial Threonyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Anchoring Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Adiponectin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Enamel Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Biomineral Tissue Development -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Biomineral Tissue Development -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Tooth Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Drm Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: D-Serine Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: D-Serine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Large Ribosomal Subunit Rrna Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Small Ribosomal Subunit Rrna Binding -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Dna Polymerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Tryptophanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Tyrosyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Growth Hormone Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Immune Response
GO Term: Shelterin Complex -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Lipid Metabolism
GO Term: Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Synaptonemal Complex Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Synaptonemal Complex Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Hormone Receptor Complex -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Meiotic Attachment Of Telomere To Nuclear Envelope -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Protein Localization To Chromosome, Telomeric Region -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Establishment Of Protein Localization To Telomere -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, APP Metabolism
GO Term: Regulation Of Establishment Of Protein Localization To Chromosome -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Protein Trimerization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Homotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Apoptosis, Autophagy
GO Term: Protein Heterotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Rpd3L-Expanded Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Protein Poly-Adp-Ribosylation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Protein Auto-Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Sulfide Oxidation, Using Sulfide:Quinone Oxidoreductase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sulfide:Quinone Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Activated T Cell Autonomous Cell Death -> Biodomain: Apoptosis, Immune Response, Autophagy, Proteostasis, Cell Cycle
GO Term: Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cellular Regulation, Lymphocyte Biology, Cell Death Mechanisms
GO Term: Regulation Of Natural Killer Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Pristanate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Actin-Mediated Cell Contraction -> Biodomain: Cytoskeleton, Muscle System, Cell Adhesion and Motility, Cell Cycle, Structural Stabilization
GO Term: Somatostatin Secretion -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mucus Secretion -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Mucus Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: 5'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Peptidyl-Serine Dephosphorylation -> Biodomain: Proteostasis, Signal Transduction, Cell Cycle, Apoptosis, Epigenetic
GO Term: Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Cornification -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Inflammatory Response, Apoptosis, Autophagy, Proteostasis
GO Term: Phosphatidylinositol-4-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Res Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Myelination
GO Term: Vitamin B6 Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxal Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pigment Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Axonemal Dynein Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ferritin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Ferritin Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: N-Acylphosphatidylethanolamine-Specific Phospholipase D Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: N-Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Immune Response
GO Term: N-Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Renal Absorption -> Biodomain: Endolysosome, Proteostasis, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Renal Sodium Ion Absorption -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Renal Water Absorption -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Cellular Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Cgmp -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Lens Fiber Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Lens Fiber Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Atr-Atrip Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: G1 To G0 Transition Involved In Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Epigenetic, DNA Repair
GO Term: Inward Rectifier Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Myelination, Immune Response, Structural Stabilization
GO Term: Thyroid Hormone Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Thyroid Hormone Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Endolysosome
GO Term: Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Aromatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Aspartate Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Flap-Structured Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: 3'-Flap-Structured Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
