Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Metanephric Glomerular Basement Membrane Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Metanephric Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Metanephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Epigenetic
GO Term: Metanephric S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephric Renal Vesicle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Autophagy
GO Term: Metanephric Connecting Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Autophagy, Cell Cycle
GO Term: Metanephric Distal Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Metanephric Nephron Tubule Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Negative Regulation Of Metanephric Glomerular Mesangial Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Positive Regulation Of Glomerular Metanephric Mesangial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephric Nephron Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Clathrin Coat Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Vesicle Uncoating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Volume-Sensitive Chloride Channel Activity -> Biodomain: Ion Homeostasis, Membrane Transport, Cellular Homeostasis, Cell Death, Signal Transduction
GO Term: Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Udp-Galactose Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Lactam Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Modified Amino Acid Binding -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Rescue Of Stalled Ribosome -> Biodomain: Proteostasis, Autophagy, Endolysosome, RNA Spliceosome, Cell Cycle
GO Term: Naadp-Sensitive Calcium-Release Channel Activity -> Biodomain: Endolysosome, Calcium Signaling, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Response To Anesthetic -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Tricarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H3T3 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Chromosome Passenger Complex Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Ptw/Pp1 Phosphatase Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Circulatory System Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Medium-Term Memory -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Oxidative Stress
GO Term: Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Blood Coagulation, Fibrin Clot Formation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Trc Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Plus-End-Directed Vesicle Transport Along Microtubule -> Biodomain: Endolysosome, Autophagy, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Minus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Plus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Flavin Adenine Dinucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Flavin Adenine Dinucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Response To Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Oxidative Stress
GO Term: Msl Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Ammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Methylammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Embryonic Skeletal Joint Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Seminiferous Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Purine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Synapse
GO Term: Purine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyrimidine-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Pyrimidine-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Pyrimidine-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Purine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, Synapse
GO Term: Pyrimidine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Perineuronal Net -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-23 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Fibroblast Activation -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Peroxynitrite Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: L-Dopa Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Tyrosine Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Emc Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Blood Vessel Lumenization -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Ipaf Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nlrp1 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nlrp3 Inflammasome Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Type B Pancreatic Cell Maturation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Blood Microparticle -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Endothelial Microparticle -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Adp-D-Ribose Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Mono-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Tolerance Induction To Lipopolysaccharide -> Biodomain: Immune Response, Inflammatory Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Hepatocyte Proliferation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Liver Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Neurotransmitter-Gated Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glycine Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Lipid Metabolism, Vasculature, APP Metabolism, Proteostasis
GO Term: Box H/Aca Rnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Box H/Aca Scarnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: N-Acetyl-L-Aspartate-L-Glutamate Ligase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Citrate-L-Glutamate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Pathways, Cellular Metabolism, Coenzyme Metabolism
GO Term: Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Establishment Of Protein Localization To Organelle -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Maintenance Of Protein Localization In Organelle -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Protein Localization To Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Protein Location In Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Synapse
GO Term: Establishment Of Protein Localization To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Establishment Of Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Trna-Splicing Ligase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Multinuclear Osteoclast Differentiation -> Biodomain: Cell Cycle, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Osteoclast Fusion -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Thymocyte Migration -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Methyl Methanesulfonate -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Sodium Dodecyl Sulfate -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Response To Sorbitol -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cellular Response To Sorbitol -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Selenite Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Response To Actinomycin D -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Cellular Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Amitrole -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Calcium Ion Starvation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Staurosporine -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Tert-Butyl Hydroperoxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Diamide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Anisomycin -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Cellular Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Cytochalasin B -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Leptomycin B -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Rapamycin -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Camptothecin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Symbiont-Mediated Disruption Of Host Cell Pml Body -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Entry Of Viral Genome Into Host Nucleus Through Nuclear Pore Complex Via Importin -> Biodomain: Immune Response, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Endocytosis Involved In Viral Entry Into Host Cell -> Biodomain: Endolysosome, Immune Response, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Clathrin-Dependent Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
