Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Rna Polymerase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Zinc Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Dna Replication-Dependent Chromatin Disassembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sodium,Bicarbonate:Chloride Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Neutral Amino Acid, Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Endolysosomal Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell Surface Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Mechanoreceptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Chloride:Bicarbonate Antiporter Activity -> Biodomain: Vasculature, Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Asparagine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: L-Glutamine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Histone H3K122 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Pore-Forming Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Membrane Destabilizing Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Lipid Metabolism, Endolysosome
GO Term: Zinc Ion Import Into Secretory Vesicle -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Zinc Ion Import Into Zymogen Granule -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Zinc Ion Import Into Lysosome -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Zinc Ion Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Kynurenine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: L-Kynurenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Inhibition Of Non-Skeletal Tissue Mineralization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Mannose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Vasculature, Autophagy
GO Term: Fructose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: 5'-(N(7)-Methyl 5'-Triphosphoguanosine)-[Mrna] Diphosphatase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: 5'-(N(7)-Methylguanosine 5'-Triphospho)-[Mrna] Hydrolase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Histone H2B Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Histone H4K12 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Histone H3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H4K20Me Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K20 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H4K20 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Histone H3K4 Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K4 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Histone H3K9Me2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K9 Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H3K9 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2A Deubiquitinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Histone H3K27 Trimethyltransferase Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Histone H3K27 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Histone H3K36 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Histone H3K36 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K79 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Target-Directed Mirna Degradation -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Multicellular Organismal-Level Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Secondary Pirna Processing -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Polyspecific Organic Cation:Proton Antiporter Activity -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Negative Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Positive Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Large Ribosomal Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Medium-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Calcium:Manganese Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Histone H4K12 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Atp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Adp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Primary Pirna Processing -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Pirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Endolysosome
GO Term: Histone H2A Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3K4 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H4K91 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ax Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Transposable Element Silencing By Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transposable Element Silencing By Pirna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Apoptosis
GO Term: Transposable Element Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Autophagy, Immune Response
GO Term: Purine Nucleotide Import Into Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Ribosome Hibernation -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: G/T Mismatch-Specific Thymine-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol 3-Kinase Activator Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Immune Response, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Inhibitor Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Proteostasis
GO Term: Very-Long-Chain 3-Oxoacyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Atg8-Family Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Histone H3K Deacetylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H2A Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2B Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Zygotic Genome Activation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Maternal Mrna Clearance -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Autosome Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Receptor Ligand Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Synapse, Proteostasis
GO Term: Inflammasome-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucose Sensor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Protein Serine Pyrophosphorylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Trna (Guanine(18)-2'-O)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna(Ser) (Uridine(44)-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Methyltransferase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Methyltransferase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Transporter Regulator Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Transporter Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Transporter Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Broken Chromosome Clustering -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Nitric Oxide Dioxygenase Activity, Heme Protein As Donor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Chromosomal Dna Methylation Maintenance Following Dna Replication -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Intracellular Signaling Cassette -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Synapse
GO Term: Trna-Queuosine(34) Galactosyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Dna N6-Methyladenine Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Diphthine Methyl Ester Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Enoyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Nitric Oxide-Cgmp Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Glycerol-3-Phosphate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Camp/Pka Signal Transduction -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Cell Cycle
GO Term: Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Negative Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Positive Regulation Of Camp/Pka Signal Transduction -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Protein Quality Control -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation Pathway -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation, Oxidation Pathway -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Dsdna-Rna Triple Helix-Forming Chromatin Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ufm1-Modified Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Atp:Atp Adenylyltransferase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nuclear Receptor-Mediated Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Transposable Element Silencing By Pirna-Mediated Dna Methylation -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Protein Branched Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Utp Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dipeptide Transmembrane Transport From Lysosomal Lumen To Cytosol -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Peptide Lactyltransferase (Atp-Dependent) Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Nad-Dependent Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: N-Acetyltaurine Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Rna Glycosylation -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Histone Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Primary Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Spontaneous Synaptic Transmission -> Biodomain: Synapse, Neuronal Signaling, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Enzyme Activator Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Clathrin-Dependent Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Apical Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Basal Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Basal Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Basal Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Myelination
GO Term: Apical Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Oxidised Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
GO Term: Oxidised Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Lysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Negative Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Distal Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Structural Constituent Of Synapse-Associated Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Postsynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Vesicle Trafficking, Proteostasis, Structural Stabilization, Cell Signaling
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Cerebellar Granule Cell To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Climbing Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Amylin Receptor Complex 1 -> Biodomain: Proteostasis, Vasculature, Synapse, Lipid Metabolism, Immune Response
GO Term: Amylin Receptor Complex 2 -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Synapse, APP Metabolism
GO Term: Amylin Receptor Complex 3 -> Biodomain: Proteostasis, Synapse, APP Metabolism, Apoptosis, Endolysosome
GO Term: Amylin Receptor 1 Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Amylin Receptor 2 Signaling Pathway -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Amylin Receptor 3 Signaling Pathway -> Biodomain: Signaling, Neurodegenerative Diseases, GPCR Signaling, Calcium Signaling, Signal Transduction
GO Term: Complement-Mediated Synapse Pruning -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Visual System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Vertebrate Eye-Specific Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
