Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Endolysosome, Proteostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Apoptosis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Lipid Metabolism, DNA Repair
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Apoptosis
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Oxidative Stress
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Behavior, Cognition, Nervous System Process, Immune Response
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: 7S Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Myelination
GO Term: Glial Cell Migration -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Germ Cell Migration -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Behavior, Neuronal Signaling, Sensory Processing
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Vasculature
GO Term: Regulation Of Cell Size -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Axon Ensheathment -> Biodomain: Myelination, Structural Stabilization, Nervous System Development, Synapse, Cellular Process
GO Term: Sialyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Synapse
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome  
Epigenetic  
Gene Expression  
Proteostasis  
DNA Repair
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Gonad Development -> Biodomain: Reproductive Process, Sex Differentiation, Developmental Process, Multicellular Organismal Process, Anatomical Structure Development
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Catalytic Activity, Exonuclease Activity, Nuclease Activity, Hydrolase Activity
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Autophagy
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Calcium Signaling, Oxidative Stress, Synapse
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Selenium Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Disorders, Metabolic Pathways, Cellular Metabolism
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Structural Stabilization
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
