Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: External Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, APP Metabolism
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Hormone Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Radial Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Proteostasis
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cell Surface -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Intracellular Water Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Oocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Cardioblast Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Response To Iron(Iii) Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Response To Manganese Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Response To Aluminum Ion -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Response To Mycotoxin -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Specification Of Animal Organ Identity -> Biodomain: Developmental Processes, Morphogenesis, Cell Differentiation, Cell Growth and Proliferation, Cell Cycle
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Nucleotide Metabolism, Metabolism, Lipid Metabolism, Proteostasis
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Specification Of Animal Organ Position -> Biodomain: Developmental Biology, Anatomical Structure Morphogenesis, Cell Differentiation, Cell Migration, Cell Adhesion
GO Term: Response To Cesium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Endomembrane System Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Silver Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Apoptosis
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy, Proteostasis
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Chromocenter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Epigenetic
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Autophagy
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Vasculature
GO Term: Regulation Of Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Lipid Metabolism
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Autophagy, APP Metabolism
GO Term: Telomerase Inhibitor Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Apoptosis, Vasculature
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Synapse, Vasculature, Apoptosis, Metal Binding and Homeostasis, Endolysosome
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Autophagy
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Lipid Metabolism
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, RNA Spliceosome, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
