Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Synapse, Structural Stabilization
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Signal Transduction, Cell Signaling, Protein Interactions, Cellular Response, Structural Stabilization
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Signal Transduction, Cytoskeleton Organization, Vesicle Trafficking, Cell Cycle, Synapse
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Proteostasis
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: Structural Stabilization, Endolysosome, Cell Cycle, Synapse, Autophagy
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Epigenetic
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Myelination
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Frizzled Binding -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Notch Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Patched Binding -> Biodomain: Signal Transduction, Developmental Biology, Cell Surface Receptor, Cell Communication, Cell Differentiation
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signal Transduction, Cell Surface Receptor, Protein Binding, Immune Response, Cell Communication
GO Term: Smoothened Binding -> Biodomain: Signal Transduction, Cell Growth and Differentiation, Tissue Development, GPCR Signaling, Embryonic Development
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Structural Stabilization, Synapse
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Cell Cycle
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Growth Hormone Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Autophagy
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Signaling, Inflammation, Cell Surface, Molecular Interaction
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cellular Communication, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Immune Response
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Cell Cycle, Myelination, Proteostasis
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Myelination, Autophagy, Oxidative Stress
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Cell Cycle
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Hormone Activity, Signal Transduction, Proteostasis, Vasculature
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Myelination, Synapse
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Ion Channels, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Calcium Signaling, Muscle Function, Synapse, Endolysosome, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
