Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Apoptosis
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Unknown
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Proteostasis, Lipid Metabolism
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Vasculature
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Endolysosome
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Cellular Component Assembly, Cell Projection, Actin Filament
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Actin Filament Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Actin Modification -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Vasculature, Cell Cycle
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Unknown
GO Term: Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Vasopressin Secretion -> Biodomain: Synapse, Proteostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Unknown, Proteostasis, Autophagy, Apoptosis
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Immune Response, Epigenetic
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Structural Stabilization, Synapse, APP Metabolism, Proteostasis
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Autophagy
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Unknown
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Secretory Granule -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Autophagy
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Biosynthetic Process, Membrane Biology, Metabolic Pathways, Organelle-specific Processes
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Synapse, Signaling, Receptor, Ion Channel, Proteostasis
GO Term: Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Glycoprotein Metabolic Process, Carbohydrate Derivative Metabolic Process, Macromolecule Biosynthetic Process, Protein Metabolic Process, Lipid Metabolism
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Troponin C Binding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
