Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Unknown
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic,RNA Spliceosome,Metal Binding and Homeostasis,Proteostasis,Autophagy
GO Term: Trna Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Epigenetic
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Carbohydrate Metabolism, Metabolism, Energy Metabolism, Enzymatic Activity, Cell Signaling
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Unknown, Proteostasis
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Structural Stabilization, Unknown, Epigenetic, Lipid Metabolism
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Myelination, Structural Stabilization
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Oxidative Stress, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy, Apoptosis
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Immune Response
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis,Lipid Metabolism,Endolysosome,Structural Stabilization,Autophagy
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Unknown
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Endolysosome, Autophagy, Cell Cycle
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Unknown,Metal Binding and Homeostasis,Proteostasis,Mitochondrial Metabolism,Endolysosome
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Unknown
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cellular Response to Stimulus, Cell Communication, Regulation of Cellular Process, Biological Regulation
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Synapse
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Hormone Signaling, Signal Transduction, Metabolic Regulation, Glucose Homeostasis, Receptor Signaling
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Autophagy, Myelination, Mitochondrial Metabolism, Endolysosome
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Intracellular Mrna Localization -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Integrin Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Synapse, Cell Cycle
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Behavior, Neural Function, Learning and Memory
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Unknown
GO Term: 7S Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Unknown, Autophagy
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Unknown
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Synapse, Immune Response
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Adult Feeding Behavior -> Biodomain: Unknown, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glial Cell Migration -> Biodomain: Myelination,Synapse,Structural Stabilization,Cell Cycle,Endolysosome
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Germ Cell Migration -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Unknown
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Behavior, Learning or Memory, Nervous System Process
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Myelination
GO Term: Regulation Of Cell Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Synapse, Myelination
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Structural Stabilization
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Autophagy, Epigenetic
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Gene Expression, RNA Metabolism, Nucleic Acid Metabolic Process, Macromolecule Metabolic Process
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Unknown, Oxidative Stress
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Vasculature
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Epigenetic
GO Term: Gonad Development -> Biodomain: Reproductive Process, Developmental Process, System Development, Anatomical Structure Development, Organ Development
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosylation, Cell Surface, Immune Response, Epigenetic
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, APP Metabolism
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Autophagy, Endolysosome
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Immune Response, Autophagy
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Synapse, Oxidative Stress, Autophagy
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Selenium Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Jun Kinase Binding -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Unknown
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Post-translational Modifications, Endolysosome, Proteostasis, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Endolysosome, Autophagy
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome,Autophagy,Lipid Metabolism,Proteostasis,Mitochondrial Metabolism
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Unknown
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, APP Metabolism
