Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Synapse, Structural Stabilization
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Epigenetic
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Myelination, Synapse
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Metencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Corpus Callosum Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Vasculature
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Hair Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Membrane Docking -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Proteostasis
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Digestive System Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Ovulation Cycle Process -> Biodomain: Lipid Metabolism, Epigenetic, Apoptosis, Autophagy, Immune Response
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Endolysosome
GO Term: Mammalian Oogenesis Stage -> Biodomain: Reproductive Process, Cell Development, Developmental Process, Cellular Process, Germ Cell Development
GO Term: Cellular Component Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Membrane To Membrane Docking -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse
GO Term: Leak Channel Activity -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Myelination, Oxidative Stress
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Vasculature
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Membrane Trafficking and Transport, Metabolic Regulation, Synaptic Processes, Proteostasis
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Apoptosis, DNA Repair
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Signaling Pathways, Autophagy
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Signaling -> Biodomain: Synapse, Immune Response, Apoptosis, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Synapse
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Ccr4-Not Complex -> Biodomain: RNA Metabolism, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Z Disc -> Biodomain: Structural Stabilization, Contractile Fiber, Cellular Structures, Muscle Function, Cytoskeleton
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Cell Adhesion, Endocytosis
GO Term: Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Cytoskeleton, Cell Morphology, Neuronal Function
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Synapse
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Muscle Function, Cellular Architecture
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Actin Modification -> Biodomain: Proteostasis, Structural Stabilization, Cytoskeleton, Autophagy, Cell Cycle
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Intracellular Trafficking and Transport, Proteostasis, Endolysosome, Autophagy
GO Term: Cell Junction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Autophagy
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Insulin Processing -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, Vasculature, Endolysosome, Autophagy, Synapse
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Epigenetic, Cell Cycle
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Vasopressin Secretion -> Biodomain: Proteostasis, Vasculature, Endolysosome, Immune Response, Apoptosis
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Immune Response
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Membrane Coat -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Ap-1 Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, APP Metabolism, Autophagy
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Ap-4 Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Copi Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Synapse, Autophagy
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Synapse
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Immune Response
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Metabolic Process, Cell Surface, Signal Transduction
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Developmental Biology, Stem Cell Biology, Epigenetic, Structural Stabilization
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Cell Cycle
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Signaling, Proteostasis, Structural Stabilization, APP Metabolism
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Troponin C Binding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, RNA Spliceosome, Endolysosome
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
