Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Asparaginase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Biotin Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Synapse
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Unknown
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Apoptosis, Oxidative Stress
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Cytidine Deaminase Activity -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Immune Response, Cell Cycle
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Unknown, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Deoxycytidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Dihydrofolate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Immune Response
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Unknown
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Unknown, Autophagy
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Synapse, Endolysosome
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Metalloendopeptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy, Immune Response
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutamine Synthetase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Autophagy, DNA Repair
GO Term: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Carbohydrate Metabolism, Metabolic Process, Glycosylation, Energy Storage, Unknown
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Glycosylation, Immune Response, Cell Surface, Carbohydrate Metabolism, Vasculature
GO Term: Gdp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Guanylate Cyclase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response
