Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Vasculature
GO Term: Neural Plate Axis Specification -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Epigenetic
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Myelination, Synapse, Epigenetic, Cell Cycle
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Glial Biology, Lipid Metabolism, Structural Stabilization, Cell Development
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Myelination, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Proteostasis
GO Term: Interkinetic Nuclear Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Proteostasis
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Metencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Oxidative Stress
GO Term: Hair Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Membrane Docking -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Reproductive Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Digestive System Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Reproductive Process, Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Lipid Metabolism, Immune Response
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Cell Differentiation, Developmental Process, Autophagy, Apoptosis
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Gland Morphogenesis -> Biodomain: Developmental Biology, Morphogenesis, Organogenesis, Cell Differentiation, Tissue Development
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Myelination, Immune Response
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Gated Channel Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Leak Channel Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Mitochondrial Metabolism
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Vasculature, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Signaling -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Synapse, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Autophagy
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Ccr4-Not Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Ccr4-Not Core Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, APP Metabolism
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Vasculature, Proteostasis
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Protein Depolymerization, Cell Motility, Cell Cycle
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Cell Cycle, Autophagy
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Actin Modification -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Synapse, Endolysosome
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Desmosome -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Insulin Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Cell Activation, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Hormone Transport, Cell-cell signaling, Proteostasis, Immune Response
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Coat -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Autophagy
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Immune Response
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Autophagy
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Synapse, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Vasculature, Oxidative Stress, Immune Response
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Troponin C Binding -> Biodomain: Muscle System, Calcium Signaling, Cardiovascular, Cytoskeleton, Structural Stabilization
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Signaling Pathways, Cell Cycle, Proteostasis, Apoptosis, DNA Repair
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
