Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Iron Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Immunoglobulin Receptor Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Fc-Gamma Receptor I Complex Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Nuclear Membrane Microtubule Tethering Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Unknown
GO Term: Subapical Complex -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: 1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulation Of Rac Protein Signal Transduction -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Leading Edge Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Histone Deacetylase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Histone Acetyltransferase Regulator Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone Acetyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Sperm-Egg Recognition -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Synapse, Unknown
GO Term: Sperm Entry -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Female Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Unknown
GO Term: Male Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sperm Dna Decondensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Embryonic Heart Tube Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Cardiocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Embryonic Heart Tube Anterior/Posterior Pattern Specification -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Cell Cycle, Unknown
GO Term: Brahma Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Interchromatin Granule -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Nuclear Speck Organization -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Establishment Or Maintenance Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: Establishment Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Endolysosome
GO Term: Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Cell Cycle
GO Term: Sperm Dna Condensation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Behavioral Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Histone Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Esc/E(Z) Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Fact Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Prc1 Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Operant Conditioning -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Proteostasis
GO Term: Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Embryonic Forelimb Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Post-Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Post-Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Synapse, Tau Homeostasis
GO Term: Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Exon-Exon Junction Complex -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Cell Cycle
GO Term: Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: Regulation Of Tube Size -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Embryonic Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Post-Embryonic Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Histone Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Histone H3S10 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Social Behavior -> Biodomain: Unknown, Immune Response, Synapse, Oxidative Stress, Apoptosis
GO Term: Rb-E2F Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Regulatory Ncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Proteostasis
GO Term: Mirna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Mirna Processing -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, RNA Spliceosome
GO Term: Sirna Binding -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Cell Competition In A Multicellular Organism -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Structural Stabilization, Epigenetic
GO Term: Glutamate-Cysteine Ligase Catalytic Subunit Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ionotropic Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Vitamin A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Dopamine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Protein-Arginine Omega-N Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Protein-Arginine Omega-N Asymmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein-Arginine Omega-N Symmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, APP Metabolism
GO Term: Peptidyl-Arginine N-Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Alpha-1,4-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Epigenetic, Unknown
GO Term: Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Udp-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Myelination, Structural Stabilization
GO Term: Udp-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, APP Metabolism, Immune Response
GO Term: Udp-Xylosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Ciliary Rootlet -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ionotropic Glutamate Receptor Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Nuclear Glucocorticoid Receptor Binding -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: External Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Gonad Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Multicellular Organism Growth -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Organ Growth -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Autophagy, Lipid Metabolism
GO Term: Nua4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Protein Mannosylation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Protein O-Linked Mannosylation -> Biodomain: Glycosylation, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
