Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Heparin Binding -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Spermine Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, DNA Repair, Apoptosis
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Metalloexopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Metallopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Tau Homeostasis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, APP Metabolism
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Tau Homeostasis, Immune Response
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Protein Methyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, APP Metabolism, Synapse
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Tau Homeostasis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Tau Homeostasis, Proteostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Lipid Binding -> Biodomain: APP Metabolism, Lipid Metabolism, Synapse, Autophagy, Oxidative Stress
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Autophagy, Apoptosis
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Tau Homeostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Tau Homeostasis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: Synapse, Immune Response, APP Metabolism, Structural Stabilization, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Tau Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: 7S Rna Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Protein Prenyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Synapse, Oxidative Stress
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, APP Metabolism, Synapse
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, APP Metabolism, Oxidative Stress
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Adult Feeding Behavior -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Glial Cell Migration -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis, Proteostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Germ Cell Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Synapse
GO Term: Olfactory Learning -> Biodomain: Cognition, Synapse, Neuronal, Neurodegeneration, Behavior
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Size -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Sialyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Tau Homeostasis, APP Metabolism, Apoptosis, Epigenetic
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Oxidative Stress, Immune Response, Tau Homeostasis, APP Metabolism, Lipid Metabolism
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Gonad Development -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Autophagy, Lipid Metabolism
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fucosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Oxidative Stress
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Synapse, Immune Response
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Structural Stabilization, APP Metabolism, Tau Homeostasis
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis, Synapse
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Synapse, Lipid Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Tau Homeostasis
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: APP Metabolism, Synapse, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Immune Response, Apoptosis
