Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Chemokine Signaling, Cytokine Activity, GPCR Signaling
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Vasculature, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Signaling Receptor Activity, G protein-coupled receptor activity, Transmembrane signaling receptor activity, Molecular transducer activity
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signaling, GPCR, Neurotransmission, Nervous System, Cellular Processes
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Signaling Receptor, GPCR Signaling, Vasculature, Receptor Signaling, Signal Transduction
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Autophagy
GO Term: Calcitonin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Autophagy
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Proteostasis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Apoptosis, Vasculature, Autophagy, Immune Response
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Cell Cycle
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Ion Transport, Neurotransmitter Receptors and Functions, Ion Channels, Neurotransmission
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, APP Metabolism, Oxidative Stress
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Melanocortin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Vasculature
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Autophagy, Epigenetic
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Vasculature
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Oxytocin Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity,Hormone Response,GPCR Signaling,Lipid Metabolism,Epigenetic
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Signal Transduction, Synapse, Lipid Metabolism, Cell Adhesion, Proteostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Insulin Receptor Activity -> Biodomain: Signaling Receptor Activity, Kinase Activity, Hormone Response, Metabolic Regulation, Cell Surface Receptor
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Synapse, Autophagy, Vasculature
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Kinase Activity, Receptor Tyrosine Kinase, Signal Transduction
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Signaling Receptor Activity, Kinase Activity, Phosphorylation, Signal Transduction, Cell Signaling
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Structural Stabilization, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Immune Response
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Protein Kinase C Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Synapse, Endolysosome
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Signaling, Growth Factor Activity, Cell Surface Receptor, Protein Binding, Molecular Function
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Autophagy
GO Term: Frizzled Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Myelination
GO Term: Notch Binding -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Vasculature
GO Term: Patched Binding -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Binding, Molecular Function, Immune Response
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Cell Cycle, Apoptosis
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Signaling Receptor Binding, Protein Binding, Cytokine Receptor Binding
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cytokine Activity -> Biodomain: Immune Response, Signaling Receptor Binding, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Lipid Metabolism, Vasculature
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Growth Factor, Receptor Binding, Cell Cycle, Signaling
GO Term: Growth Hormone Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Cell Cycle, Vasculature
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Cell Cycle
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Endolysosome, Vasculature, Autophagy, Apoptosis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Proteostasis, Apoptosis
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Signaling, Growth Factor, Receptor Binding, Protein Binding, Molecular Function
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Innate Immunity, Apoptosis, Receptor Binding
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Hormone Activity -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress, Immune Response
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Proteostasis, Apoptosis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Mitochondrial Metabolism
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Lipid Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Calcium Signaling, Signaling, Ion Transport, Metal Binding and Homeostasis, Apoptosis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
