Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Asparaginase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Biotin Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Proteostasis, Unknown
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Endolysosome, Lipid Metabolism, Proteostasis, Unknown
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Unknown, Lipid Metabolism
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Structural Stabilization, Unknown
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Unknown
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Unknown, Epigenetic, Cell Cycle, Proteostasis
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Proteostasis, Endolysosome
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Vasculature
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, DNA Repair
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Tau Homeostasis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Dolichol Kinase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Lipid Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Apoptosis, Endolysosome, Cell Cycle
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Tau Homeostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, APP Metabolism
GO Term: Metalloendopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Vasculature, Proteostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Vasculature
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Epoxide Hydrolase Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, APP Metabolism
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown, APP Metabolism
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ferrochelatase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fumarylacetoacetase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Apoptosis
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Glucosylceramidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Synapse
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Tau Homeostasis
GO Term: Glutamine Synthetase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Epigenetic, Lipid Metabolism
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Tau Homeostasis
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Unknown
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Epigenetic
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Synapse
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Unknown
GO Term: Gdp Phosphatase Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Gmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Tau Homeostasis, Autophagy
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
