Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Proteostasis, Apoptosis
GO Term: S-Methyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Trna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Tau Homeostasis
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Heparin Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Endolysosome, Oxidative Stress
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Hormone Metabolic Process, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Tau Homeostasis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Spermidine Metabolic Process -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Metalloexopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Serine-Type Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Metallopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Immune Response
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, RNA Spliceosome
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: 3'-Nucleotidase Activity -> Biodomain: DNA Repair, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Tau Homeostasis
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Protein Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic, Apoptosis
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cohesin Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Structural Stabilization, Apoptosis
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Tau Homeostasis, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: Synapse, Immune Response, Structural Stabilization, Vasculature, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Autophagy
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, APP Metabolism, Endolysosome, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Apoptosis
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Adult Feeding Behavior -> Biodomain: Behavioral, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Glial Cell Migration -> Biodomain: Immune Response, Endolysosome, Synapse, Myelination, Proteostasis
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Synapse, Immune Response
GO Term: Germ Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Olfactory Learning -> Biodomain: Cognition, Synapse, Nervous System Process, Behavior, Immune Response
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Cell Shape -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Regulation Of Cell Size -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Sialyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Galactosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Tau Homeostasis
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Gene Expression, Epigenetic, Proteostasis, Synapse
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Endolysosome
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Endolysosome
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, APP Metabolism, Proteostasis, Immune Response
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, APP Metabolism
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Apoptosis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Gonad Development -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Epigenetic
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fucosyltransferase Activity -> Biodomain: APP Metabolism, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Synapse
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Immune Response, Endolysosome, Apoptosis
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Thyroid Signaling, Hormone Signaling, Metabolic Regulation, Neuroendocrine Regulation, Signaling Pathways
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Immune Response
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Immune Response, Apoptosis
