Running with TEMP=0.5, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Metanephric Proximal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Metanephric Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Metanephric Dct Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Endolysosome
GO Term: Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Metanephric Glomerular Mesangial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Proliferation Involved In Metanephros Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Metanephric Capsule Specification -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Pattern Specification Involved In Metanephros Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Proximal/Distal Pattern Formation Involved In Metanephric Nephron Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Autophagy
GO Term: Metanephric Nephron Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Metanephric Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Metanephric Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Endolysosome
GO Term: Metanephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Endolysosome, Autophagy
GO Term: Metanephric S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephric Renal Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Metanephric Connecting Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Endolysosome
GO Term: Metanephric Distal Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Epigenetic
GO Term: Metanephric Nephron Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Metanephric Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Autophagy
GO Term: Positive Regulation Of Glomerular Metanephric Mesangial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Vasculature
GO Term: Negative Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Clathrin Coat Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Uncoating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Volume-Sensitive Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Signal Transduction By P53 Class Mediator -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Udp-Galactose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lactam Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Modified Amino Acid Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, APP Metabolism, Autophagy
GO Term: Rescue Of Stalled Ribosome -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Naadp-Sensitive Calcium-Release Channel Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Anesthetic -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Tricarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H3T3 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Chromosome Passenger Complex Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ptw/Pp1 Phosphatase Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Circulatory System Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Medium-Term Memory -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, DNA Repair
GO Term: Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Blood Coagulation, Fibrin Clot Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Trc Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Plus-End-Directed Vesicle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Myelination
GO Term: Organelle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Minus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Plus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Flavin Adenine Dinucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Flavin Adenine Dinucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Response To Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Msl Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Ammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Methylammonium Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Embryonic Skeletal Joint Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Positive Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Seminiferous Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Purine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Immune Response
GO Term: Purine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Pyrimidine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Pyrimidine-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Pyrimidine-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Purine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Cell Cycle, Vasculature
GO Term: Pyrimidine-Containing Compound Transmembrane Transport -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Perineuronal Net -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Interleukin-23 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Fibroblast Activation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Autophagy, Apoptosis
GO Term: T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Peroxynitrite Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: L-Dopa Binding -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: L-Tyrosine Binding -> Biodomain: Amino Acid Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Emc Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, APP Metabolism
GO Term: Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Blood Vessel Lumenization -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Ipaf Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nlrp1 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nlrp3 Inflammasome Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Type B Pancreatic Cell Maturation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Blood Microparticle -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Endothelial Microparticle -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Adp-D-Ribose Binding -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mono-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Poly-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Tolerance Induction To Lipopolysaccharide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Immune Response
GO Term: Liver Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Neurotransmitter-Gated Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycine Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Autophagy
GO Term: Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Vasculature, Structural Stabilization
GO Term: Box H/Aca Rnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Box H/Aca Scarnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: N-Acetyl-L-Aspartate-L-Glutamate Ligase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Myelination, Proteostasis, Lipid Metabolism
GO Term: Citrate-L-Glutamate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Establishment Of Protein Localization To Organelle -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Protein Localization In Organelle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Maintenance Of Protein Location In Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Vasculature
GO Term: Establishment Of Protein Localization To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Establishment Of Protein Localization To Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, APP Metabolism
GO Term: Trna-Splicing Ligase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Multinuclear Osteoclast Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Osteoclast Fusion -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Thymocyte Migration -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: T Cell Extravasation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Meiotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Cellular Response To Methyl Methanesulfonate -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Cellular Response To Sodium Dodecyl Sulfate -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Response To Sorbitol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Sorbitol -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Selenite Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cellular Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Cellular Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Amitrole -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Calcium Ion Starvation -> Biodomain: Proteostasis, Autophagy, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Staurosporine -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Tert-Butyl Hydroperoxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Diamide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Cellular Response
GO Term: Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Cell Cycle
GO Term: Cellular Response To Cytochalasin B -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Leptomycin B -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, DNA Repair, Autophagy
GO Term: Cellular Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Cellular Response To Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cellular Response To Camptothecin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Symbiont-Mediated Disruption Of Host Cell Pml Body -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Entry Of Viral Genome Into Host Nucleus Through Nuclear Pore Complex Via Importin -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Endocytosis Involved In Viral Entry Into Host Cell -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
