Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Chromosome Passenger Complex -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Guanine/Thymine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Single Base Insertion Or Deletion Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Dinucleotide Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Single Guanine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Single Thymine Insertion Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: 4-Aminobutyrate Transaminase Complex -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Succinate-Semialdehyde Dehydrogenase Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Activation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Immune Response
GO Term: Activation Of Protein Kinase B Activity -> Biodomain: Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Cell Division Site -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Septin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Septin Collar -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dinucleotide Repeat Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Ubiquitin-Like Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Sumo Binding -> Biodomain: Proteostasis, Epigenetic, Apoptosis, DNA Repair, Cell Cycle
GO Term: Sumo Polymer Binding -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Septin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Acrosin Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Apoptosis, Autophagy
GO Term: Transposition -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Retrotransposition -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Telomere Organization -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Telomere Assembly -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Telomere Formation Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Glucosaminyl-Phosphatidylinositol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Riboflavin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Riboflavin Transport -> Biodomain: Vitamin and Cofactor Metabolism, Cellular Metabolism, Nutrient Uptake and Distribution, Membrane Transport and Homeostasis, Redox and Electron Transport
GO Term: Negative Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Neurotransmitter Release & Signaling, Receptor Signaling, Synaptic Plasticity, Neurological System
GO Term: Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Activation Of Store-Operated Calcium Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Adenosine Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Nucleoside Transport -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, DNA Repair, Endolysosome
GO Term: Secretory Granule Localization -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Purine Nucleotide Salvage -> Biodomain: Cell Cycle, Autophagy, DNA Repair, Endolysosome, Mitochondrial Metabolism
GO Term: Gmp Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Imp Salvage -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Phosphatidylinositol-3-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Gonadotropin Secretion -> Biodomain: Synapse, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Luteinizing Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Epigenetic, Immune Response
GO Term: Negative Regulation Of Gonadotropin Secretion -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Asymmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ampa Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Central Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Peripheral Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Myelin Assembly -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Central Nervous System Myelin Formation -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Peripheral Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Positive Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Ribonuclease H2 Complex -> Biodomain: DNA Repair, Genome Integrity, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Mismatch Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Mutsalpha Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Mutsbeta Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Angiogenin-Pri Complex -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Apoptosis
GO Term: Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Serine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Aldosterone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Response To Follicle-Stimulating Hormone -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Endolysosome
GO Term: Response To Estradiol -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Oxidized Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Oxidized Purine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Oxidized Pyrimidine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Pyridoxal Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Oxygen Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Intracellular Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, APP Metabolism
GO Term: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Mutlalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Photoreceptor Connecting Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dna Geometric Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Endolysosome
GO Term: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cell Surface Receptor, Adaptive Immunity, Protein Binding
GO Term: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Synapse, Apoptosis
GO Term: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Hect Domain Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Melanosome Localization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Establishment Of Melanosome Localization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Melanosome Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Transporter Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Positive Regulation Of Transporter Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Immune Response, Autophagy
GO Term: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Vasculature, Oxidative Stress, Proteostasis
GO Term: Lysosome Localization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Stereocilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Stereocilium Bundle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Purine-Rich Negative Regulatory Element Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, APP Metabolism
GO Term: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Stereocilium Tip -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Morphogenesis, Sensory Transduction, Cilium Organization
GO Term: Gbd Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Immune Response
GO Term: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Glycosaminoglycan Metabolism, Lipid Metabolism, Immune Response
GO Term: Actin Filament Bundle -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Filopodium Tip -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Endolysosome
GO Term: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Cuticular Plate -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Melanosome Organization -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Activin Responsive Factor Complex -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Protein Modification By Small Protein Conjugation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Epigenetic
GO Term: Protein Urmylation -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cbm Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone Demethylase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, APP Metabolism
GO Term: Slow Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
