Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Rna Polymerase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Zinc Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Dna Replication-Dependent Chromatin Disassembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sodium,Bicarbonate:Chloride Antiporter Activity -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Neutral Amino Acid, Sodium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Endolysosomal Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cell Surface Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mechanoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Chloride:Bicarbonate Antiporter Activity -> Biodomain: Endolysosome, Vasculature, Autophagy, Proteostasis, Oxidative Stress
GO Term: L-Asparagine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: L-Glutamine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histone H3K122 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Pore-Forming Activity -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Membrane Destabilizing Activity -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Zinc Ion Import Into Secretory Vesicle -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Zinc Ion Import Into Zymogen Granule -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Zinc Ion Import Into Lysosome -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Zinc Ion Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Kynurenine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Kynurenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Inhibition Of Non-Skeletal Tissue Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Proteostasis, Epigenetic
GO Term: Mannose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Fructose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 5'-(N(7)-Methyl 5'-Triphosphoguanosine)-[Mrna] Diphosphatase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: 5'-(N(7)-Methylguanosine 5'-Triphospho)-[Mrna] Hydrolase Activity -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H2B Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4K12 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histone H3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Histone H4K20Me Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Histone H4K20 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Histone H4K20 Monomethyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone H3K4 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K4 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K9Me2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K9 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Histone H3K9 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2A Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H3K27 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3K27 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H3K36 Dimethyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Histone H3K36 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K79 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Target-Directed Mirna Degradation -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Endolysosome
GO Term: Multicellular Organismal-Level Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Secondary Pirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Immune Response
GO Term: Polyspecific Organic Cation:Proton Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Large Ribosomal Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Medium-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Calcium:Manganese Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Histone H4K12 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Atp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Adp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Primary Pirna Processing -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Pirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Histone H2A Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K4 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Histone H4K91 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H2Ax Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Transposable Element Silencing By Heterochromatin Formation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Structural Stabilization, DNA Repair
GO Term: Transposable Element Silencing By Pirna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, Immune Response, DNA Repair, Cell Cycle, Apoptosis
GO Term: Transposable Element Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, DNA Repair, Proteostasis
GO Term: Purine Nucleotide Import Into Lysosome -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ribosome Hibernation -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: G/T Mismatch-Specific Thymine-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol 3-Kinase Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphatidylinositol 3-Kinase Inhibitor Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Immune Response, Apoptosis
GO Term: Very-Long-Chain 3-Oxoacyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Atg8-Family Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histone H3K Deacetylase Activity -> Biodomain: Epigenetic,DNA Repair,Metal Binding and Homeostasis,Cell Cycle,Proteostasis
GO Term: Histone H2A Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2B Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Zygotic Genome Activation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Maternal Mrna Clearance -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Autosome Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Receptor Ligand Inhibitor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Structural Stabilization
GO Term: Inflammasome-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glucose Sensor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Serine Pyrophosphorylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Trna (Guanine(18)-2'-O)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Trna(Ser) (Uridine(44)-2'-O-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Trna Methyltransferase Activator Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Methyltransferase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Transporter Regulator Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Transporter Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Transporter Inhibitor Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, DNA Repair, Apoptosis, Oxidative Stress, Autophagy
GO Term: Broken Chromosome Clustering -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Nitric Oxide Dioxygenase Activity, Heme Protein As Donor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Chromosomal Dna Methylation Maintenance Following Dna Replication -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Intracellular Signaling Cassette -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Trna-Queuosine(34) Galactosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Dna N6-Methyladenine Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Diphthine Methyl Ester Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Enoyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Nitric Oxide-Cgmp Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glycerol-3-Phosphate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Camp/Pka Signal Transduction -> Biodomain: Synapse, Mitochondrial Metabolism, Vasculature, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Camp/Pka Signal Transduction -> Biodomain: Signal Transduction, Regulation, Neurotransmission, Synapse, Epigenetic
GO Term: Positive Regulation Of Camp/Pka Signal Transduction -> Biodomain: Signal Transduction, Neuronal Signaling, Neurodegeneration, Metabolism, Epigenetic
GO Term: Mitochondrial Protein Quality Control -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation Pathway -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Endolysosome
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation, Oxidation Pathway -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Dsdna-Rna Triple Helix-Forming Chromatin Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Ufm1-Modified Protein Reader Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Atp:Atp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Immune Response
GO Term: Nuclear Receptor-Mediated Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Proteostasis, DNA Repair
GO Term: Transposable Element Silencing By Pirna-Mediated Dna Methylation -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Autophagy
GO Term: Protein Branched Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Utp Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Pyroptotic Cell Death -> Biodomain: Immune Response, Inflammatory Response, Cell Death, Apoptosis, Oxidative Stress
GO Term: Dipeptide Transmembrane Transport From Lysosomal Lumen To Cytosol -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Peptide Lactyltransferase (Atp-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Nad-Dependent Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: N-Acetyltaurine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Rna Glycosylation -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Histone Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Primary Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Enzyme Activator Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Clathrin-Dependent Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Apical Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Basal Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Basal Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Basal Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Apical Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Oxidised Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Oxidised Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Distal Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Synapse-Associated Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Postsynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cerebellar Granule Cell To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Postsynaptic Golgi Apparatus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Regulation Of Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Climbing Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amylin Receptor Complex 1 -> Biodomain: Synapse, Proteostasis, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Amylin Receptor Complex 2 -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Amylin Receptor Complex 3 -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Amylin Receptor 1 Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Amylin Receptor 2 Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Amylin Receptor 3 Signaling Pathway -> Biodomain: APP Metabolism, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Complement-Mediated Synapse Pruning -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Visual System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Vertebrate Eye-Specific Patterning -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Neuroinflammatory Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
