Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Unknown
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Endolysosome, Oxidative Stress, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse,Oxidative Stress,Proteostasis,Mitochondrial Metabolism,Metal Binding and Homeostasis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Apoptosis
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Unknown
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, APP Metabolism
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Cell Population Proliferation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Unknown
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Tau Homeostasis
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Calcium Homeostasis, Synapse, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, APP Metabolism, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Unknown, Oxidative Stress
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Unknown, Proteostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Apoptosis
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Vasculature, Unknown, Mitochondrial Metabolism, Proteostasis
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Unknown
GO Term: 7S Rna Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Unknown
GO Term: Protein Prenyltransferase Activity -> Biodomain: APP Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, Tau Homeostasis, APP Metabolism, Immune Response, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Unknown
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Synapse, Immune Response
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Aging, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glial Cell Migration -> Biodomain: Immune Response, Endolysosome, Proteostasis, Myelination, Synapse
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Tau Homeostasis, Immune Response, Apoptosis, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Endolysosome
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Unknown
GO Term: Germ Cell Migration -> Biodomain: Unknown, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Learning or Memory, Neurotransmitter Systems, Immune Response
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Regulation Of Cell Size -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Nervous System Development, Lipid Metabolism
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, APP Metabolism, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Synapse
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Glycosylation, Lipid Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Tau Homeostasis
GO Term: Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Gene Expression, Epigenetic, Proteostasis, Autophagy
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Gonad Development -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Unknown, Proteostasis
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fucosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Oxidative Stress
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Tau Homeostasis, Unknown
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Unknown, Synapse
GO Term: Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Unknown
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Jun Kinase Binding -> Biodomain: Apoptosis, Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Unknown
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Synapse
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Tau Homeostasis, Proteostasis
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Tau Homeostasis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Endolysosome, Lipid Metabolism
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Unknown
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Vasculature, Unknown
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Synapse, Endolysosome
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic,APP Metabolism,Tau Homeostasis,Proteostasis,Autophagy
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Synapse
