Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Ubiquitin Proteasome, Proteostasis, Post-translational Modification, Protein Targeting and Localization, Metabolism
GO Term: Isg15 Transferase Activity -> Biodomain: Proteostasis, Immune Response, Ubiquitin-Proteasome System, Oxidative Stress, Autophagy
GO Term: Vocal Learning -> Biodomain: Synapse, Behavior, Cognition, Learning or Memory, Nervous System Process
GO Term: Phosphate Ion Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Tau Homeostasis, Epigenetic
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Cell Cycle, Immune Response, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Vasodilation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Vasculature
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Circadian Rhythm, Sleep, Behavior, Synapse, Unknown
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Epigenetic, Synapse, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Sleep, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Unknown
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Unknown, Proteostasis, Endolysosome
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Menaquinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Vitamin K Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Unknown
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: Paraspeckles -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Cell Cycle, Unknown
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Histone Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Taurine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Epinephrine Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Norepinephrine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Epigenetic
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Choline Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Serotonin Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Serotonin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Pigment Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Hormone Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Progesterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Unknown
GO Term: Melanosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Synapse, Myelination
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Unknown
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Unknown
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Immune Response
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Tau Homeostasis
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Unknown, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Neuron Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Myelination -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Mcm Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Unknown
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis, Endolysosome
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Unknown
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Hormone Metabolic Process, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Epigenetic, DNA Repair
GO Term: Specific Granule -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Azurophil Granule -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chromaffin Granule -> Biodomain: Secretory Granule, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Chromaffin Granule Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Synapse
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Glycogen Granule -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Zymogen Granule Membrane -> Biodomain: Structural Stabilization  
Proteostasis  
Endolysosome  
Autophagy  
Unknown
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Starvation -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fear Response -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Unknown
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Mating Plug Formation -> Biodomain: Reproductive Process, Structural Stabilization, Behavior, Multicellular Organismal Process, Lipid Metabolism
GO Term: Mast Cell Granule -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Immune Response
GO Term: Regulation Of Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Immune Response
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle  
Epigenetic  
Structural Stabilization  
Apoptosis  
Autophagy
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Developmental Process, Cell Differentiation, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Synapse, Epigenetic, Unknown, Cell Cycle, Proteostasis
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Epigenetic,Synapse,Cell Cycle,Proteostasis,Structural Stabilization
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Epigenetic
GO Term: Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Muscle Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Muscle Cell Fate Specification -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ovulation Cycle -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Reproductive Process, Signaling Pathway, Developmental Process, Regulation of Biological Process, Cellular Response to Stimulus
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Progesterone Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Uterine Wall Breakdown -> Biodomain: Vasculature, Apoptosis, Autophagy, Structural Stabilization, Immune Response
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Maternal Behavior -> Biodomain: Reproductive Process, Behavior, Multicellular Organismal Process, Parental Behavior, Unknown
GO Term: Sperm Ejaculation -> Biodomain: Reproductive Process, Male Reproduction, Copulation, Mating Behavior, Reproductive Behavior
