Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, APP Metabolism
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Synapse, Immune Response
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Autophagy
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Cell Cycle, Proteostasis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, DNA Repair, Proteostasis
GO Term: 3'-Nucleotidase Activity -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Endolysosome
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Apoptosis, Myelination
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, DNA Repair, Lipid Metabolism
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Cell Cycle, Tau Homeostasis, Apoptosis, Structural Stabilization
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Cytoskeleton, Cellular Structure, Cell Adhesion, Protein Complex Assembly
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Synapse, Vasculature, Autophagy
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Synapse
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Myelination, Epigenetic, Proteostasis, Autophagy
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: 7S Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Meiosis, Cell Division, Cell Cycle Regulation, Chromosome Segregation
GO Term: Protein Prenyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Cell Cycle, Immune Response
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Adult Feeding Behavior -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Glial Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Germ Cell Migration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Learning or Memory, Behavior, Nervous System Process
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Cell Size -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Immune Response, Structural Stabilization
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Myelination, Structural Stabilization
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Antioxidant Activity, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Gonad Development -> Biodomain: Reproductive Process, Developmental Process, Multicellular Organismal Process, Epigenetic, Cell Cycle
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fucosyltransferase Activity -> Biodomain: Glycosylation, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Beta-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Structural Stabilization, Autophagy
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Synapse, Cell Cycle
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Endolysosome, Autophagy
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Jun Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Apoptosis
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Glycosylation, Endolysosome, Glycobiology, Immune Response
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Glycosphingolipid Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Myelination, Endolysosome
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
