Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Ethylene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Hormone -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Epigenetic
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Response to Chemical, Apoptosis, Proteostasis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Blue Light Signaling Pathway -> Biodomain: Cell Cycle, Oxidative Stress, DNA Repair, Autophagy, Epigenetic
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Hormone Signaling, Oxidative Stress, Response to Stress, Lipid Metabolism, Signal Transduction
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Autophagy
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Developmental Process, Regulation of Cellular Process, Mitosis, Nuclear Division
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Coumarin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Flavonoid Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Proteostasis
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Developmental Biology, Cell Differentiation, Morphogenesis, Gene Expression Regulation
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: External Side Of Plasma Membrane -> Biodomain: Vasculature, Immune Response, Synapse, Structural Stabilization, APP Metabolism
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Lipid Metabolism, Apoptosis
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Proteostasis  
Epigenetic
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Hormone Transport -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature, Endolysosome
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Myelination
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Developmental Biology, Embryonic Development, Pattern Formation, Anatomical Structure Morphogenesis, Cell Differentiation
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Developmental Process, Pattern Specification, Morphogenesis, Anatomical Structure Development, Cell Differentiation
GO Term: Radial Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Epithelial, Developmental, Tissue Development, Cell Differentiation
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cell Surface -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Intracellular Water Homeostasis -> Biodomain: Structural Stabilization, Homeostatic Process, Intracellular Environment, Ion Homeostasis, Cellular Stress Response
GO Term: Oocyte Differentiation -> Biodomain: Oogenesis, Germ Cell Development, Reproductive Process, Cell Cycle, Epigenetic
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Vasculature
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Structural Stabilization
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, Reproductive Process, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Immune Response, Endolysosome
GO Term: Response To Nickel Cation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Specification Of Animal Organ Identity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Specification Of Animal Organ Position -> Biodomain: Developmental Processes, Pattern Specification, Organ Development, Embryogenesis, Body Patterning
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Cell Cycle, Apoptosis
GO Term: Embryonic Body Morphogenesis -> Biodomain: Developmental Process, Anatomical Structure Development, Morphogenesis, Embryo Development, Multicellular Organism Development
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Response To Lithium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endomembrane System Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Metabolism, Chemical Response, Nutrient Response, Cofactor Binding
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Response To Silver Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Membrane Invagination -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Chromocenter -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Proteasome, Ubiquitin-Proteasome System, Protein Complex Assembly, Cellular Component Biogenesis
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Response To Alkaline Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Regulation Of Gastrulation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Lipid Metabolism
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Protein Metabolic Process, Autophagy, Cellular Process, Metabolic Process
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Metabolic Pathways, Cellular Regulation, Enzymatic Activity, Lipid Metabolism
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Telomerase Inhibitor Activity -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Proteostasis
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Epigenetic, Autophagy
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, Apoptosis
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Synapse, APP Metabolism
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
