Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Mannose:Sodium Symporter Activity -> Biodomain: Carbohydrate Metabolism, Membrane Transport, Ion Homeostasis, Nutrient Transport, Metabolic Processes
GO Term: Fructose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: 5'-(N(7)-Methyl 5'-Triphosphoguanosine)-[Mrna] Diphosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: 5'-(N(7)-Methylguanosine 5'-Triphospho)-[Mrna] Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Epigenetic
GO Term: Histone H2B Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H4K12 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Immune Response
GO Term: Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H4K20Me Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K20 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Histone H4K20 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K4 Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Histone H3K4 Dimethyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Histone H3K9Me2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K9 Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K9 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H2A Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K27 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K27 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K36 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K36 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K79 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Target-Directed Mirna Degradation -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Synapse
GO Term: Multicellular Organismal-Level Chemical Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Secondary Pirna Processing -> Biodomain: Epigenetic, Immune Response, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Polyspecific Organic Cation:Proton Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Mitochondrial Large Ribosomal Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Medium-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Calcium:Manganese Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Histone H4K12 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Atp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Adp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Primary Pirna Processing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Pirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Histone H2A Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K4 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H4K91 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H2Ax Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Transposable Element Silencing By Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Transposable Element Silencing By Pirna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Immune Response, RNA Spliceosome, Proteostasis
GO Term: Transposable Element Silencing By Mrna Destabilization -> Biodomain: Endolysosome, Autophagy, Immune Response, Epigenetic, Proteostasis
GO Term: Purine Nucleotide Import Into Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ribosome Hibernation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: G/T Mismatch-Specific Thymine-Dna Glycosylase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Inhibitor Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Very-Long-Chain 3-Oxoacyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Atg8-Family Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histone H3K Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2A Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Endolysosome, Cell Cycle
GO Term: Histone H2B Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Histone H3 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, APP Metabolism
GO Term: Zygotic Genome Activation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Maternal Mrna Clearance -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Autosome Genomic Imprinting -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Receptor Ligand Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Inflammasome-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glucose Sensor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Serine Pyrophosphorylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Trna (Guanine(18)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Trna(Ser) (Uridine(44)-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Methyltransferase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Methyltransferase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Transporter Regulator Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Transporter Activator Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, APP Metabolism
GO Term: Transporter Inhibitor Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Broken Chromosome Clustering -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Nitric Oxide Dioxygenase Activity, Heme Protein As Donor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Chromosomal Dna Methylation Maintenance Following Dna Replication -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Intracellular Signaling Cassette -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Trna-Queuosine(34) Galactosyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dna N6-Methyladenine Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Diphthine Methyl Ester Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Autophagy, Apoptosis, Proteostasis
GO Term: Enoyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Nitric Oxide-Cgmp Mediated Signal Transduction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Glycerol-3-Phosphate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Camp/Pka Signal Transduction -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Epigenetic
GO Term: Negative Regulation Of Camp/Pka Signal Transduction -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Camp/Pka Signal Transduction -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mitochondrial Protein Quality Control -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation Pathway -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation, Oxidation Pathway -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Dsdna-Rna Triple Helix-Forming Chromatin Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, APP Metabolism
GO Term: Ufm1-Modified Protein Reader Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Atp:Atp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Nuclear Receptor-Mediated Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Transposable Element Silencing By Pirna-Mediated Dna Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Protein Branched Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Utp Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyroptotic Cell Death -> Biodomain: Inflammatory Response, Immune Response, Cell Death, Proteostasis, Apoptosis
GO Term: Dipeptide Transmembrane Transport From Lysosomal Lumen To Cytosol -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptide Lactyltransferase (Atp-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Nad-Dependent Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: N-Acetyltaurine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Rna Glycosylation -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Histone Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Primary Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Distal Dendrite -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Spontaneous Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Enzyme Activator Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Clathrin-Dependent Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Apical Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Lipid Metabolism
GO Term: Basal Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Basal Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Basal Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Apical Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Oxidised Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Oxidised Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Distal Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Structural Constituent Of Synapse-Associated Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Cerebellar Granule Cell To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Postsynaptic Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Climbing Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Amylin Receptor Complex 1 -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Vasculature, Endolysosome
GO Term: Amylin Receptor Complex 2 -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Amylin Receptor Complex 3 -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Amylin Receptor 1 Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Amylin Receptor 2 Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Amylin Receptor 3 Signaling Pathway -> Biodomain: APP Metabolism, Proteostasis, Epigenetic, Cell Cycle, Synapse
GO Term: Complement-Mediated Synapse Pruning -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Visual System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vertebrate Eye-Specific Patterning -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Immune Response, Vasculature
GO Term: Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
