Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Axon Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Axon Midline Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Muscle Attachment -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: Catechol O-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Amp Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Apoptosis
GO Term: Antioxidant Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Kynurenine-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Synapse, Autophagy
GO Term: Acyl-Coa 6-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Acyl-Coa Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Procollagen-Proline 4-Dioxygenase Complex -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Beta-Alanine:Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Sphingomyelin Phosphodiesterase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Hnk-1 Sulfotransferase Activity -> Biodomain: Proteostasis, Synapse, Myelination, Structural Stabilization, Immune Response
GO Term: Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Inclusion Body -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Aggresome -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Macroautophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Autophagosome Membrane Docking -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Channel Regulator Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Proteostasis, Endolysosome
GO Term: Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: N-Sulfoglucosamine Sulfohydrolase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Attachment Of Gpi Anchor To Protein -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: N-Glycan Processing To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Selenocysteine Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Selenocysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Selenocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Autophagy, Apoptosis
GO Term: Glycoprotein-N-Acetylgalactosamine 3-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Metal Binding and Homeostasis
GO Term: Core O-Glycan Biosynthetic Process -> Biodomain: Glycosylation, Protein Modification, Carbohydrate Metabolism, Extracellular Matrix, Cell Adhesion
GO Term: Core 2 O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Core 3 O-Glycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Prefoldin Complex -> Biodomain: Proteostasis, Epigenetic, Unknown, Structural Stabilization, RNA Spliceosome
GO Term: Protein-Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Apoptosis
GO Term: Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Protein-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Unknown, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Eukaryotic 43S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Unknown
GO Term: Alanyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy, APP Metabolism
GO Term: Small Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Glycerone-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Fatty Acyl-[Acp] Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Trna (Uridine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: 1-Phosphatidylinositol-3-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: 1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: 1-Phosphatidylinositol-5-Phosphate 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, DNA Repair, Autophagy, Proteostasis
GO Term: Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Tau Homeostasis, Synapse
GO Term: Inositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum Membrane Fusion -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Apical Plasma Membrane -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Apicolateral Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Lateral Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Morphogenesis Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Establishment Or Maintenance Of Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Calcium-Dependent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Catenin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Vasculature
GO Term: Meiotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Activin Receptor Activity, Type I -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Vasculature, Proteostasis
GO Term: Activin Receptor Activity, Type Ii -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Nuclear Matrix -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Palmitoyl-Coa Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Pristanoyl-Coa Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dimethylargininase Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Coa-Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Unknown
GO Term: N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Serine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Unknown
GO Term: O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Cell Cycle, Unknown
GO Term: Trna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Unknown
GO Term: Trna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, Unknown, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna (Cytidine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Trna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Trna-Uridine Aminocarboxypropyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Rrna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Rrna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Structural Stabilization, Unknown
GO Term: Trna-Queuosine(34) Beta-Mannosyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Post-Transcriptional Gene Silencing -> Biodomain: Immune Response, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Risc Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Synapse, Immune Response
GO Term: Somatic Cell Dna Recombination -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Unknown
GO Term: Somatic Diversification Of Immunoglobulins -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Somatic Hypermutation Of Immunoglobulin Genes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Somatic Recombination Of Immunoglobulin Gene Segments -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, APP Metabolism
GO Term: Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Myosin Ii Complex -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Vasculature
GO Term: Unconventional Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Proton-Transporting Two-Sector Atpase Complex -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Embryonic Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cell Migration -> Biodomain: Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Negative Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytosolic Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Peptide Hormone Processing -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Farnesol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown, Autophagy
GO Term: Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Neurotensin Receptor Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: C-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: C-X-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: C-X3-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Substance P Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Unknown
GO Term: Substance K Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Unknown
GO Term: Orexin Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Hormone Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Prostacyclin Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Pheromone Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Unknown
GO Term: Peptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Peptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Mitochondrial Fatty Acid Beta-Oxidation Multienzyme Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Core-Binding Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Swi/Snf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Interleukin-13 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-12 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Gastric Inhibitory Peptide Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Growth Hormone-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Pituitary Adenylate Cyclase Activating Polypeptide Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Latrotoxin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sarcoplasm -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Metallochaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Copper Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Superoxide Dismutase Copper Chaperone Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein Kinase 5 Complex -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Intein-Mediated Protein Splicing -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Protein Autoprocessing -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Base Conversion Or Substitution Editing -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Cytidine To Uridine Editing -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Apoptosis, Cell Cycle
GO Term: Peroxisome Membrane Biogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Protein Import Into Peroxisome Matrix -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Peroxisome Fission -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Docking -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Translocation -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Protein Import Into Peroxisome Matrix, Receptor Recycling -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Nurd Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Rsc-Type Complex -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Unknown
GO Term: Nurf Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Acf Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii, Holoenzyme -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Mediator Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cdc73/Paf1 Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, DNA Repair
GO Term: Glycine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glutamate Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Amino Acid Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Arginylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Flotillin Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Rac Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Autophagy, Apoptosis
GO Term: Ccaat-Binding Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, DNA Repair, Proteostasis
GO Term: Glutaminyl-Peptide Cyclotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Nuclear Body -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Pml Body -> Biodomain: Immune Response, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Nuclear Speck -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Growth Hormone-Releasing Hormone Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, Unknown
