Running with TEMP=0.5, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Signaling, Receptor, Immune Regulation, Cell Surface
GO Term: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Peptide Secretion -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Endolysosome
GO Term: Negative Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Endolysosome
GO Term: Positive Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Vasculature
GO Term: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Regulation, Cellular Response, Signal Transduction, Inflammatory Response
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Epigenetic, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammatory Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Trabecular Meshwork Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Response To Ischemia -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Autophagy, DNA Repair
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Trna N1-Guanine Methylation -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Trna N2-Guanine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Trna C5-Cytosine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Apoptosis
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: System Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Endolysosome
GO Term: Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Muscle System Process -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Renal System Process -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Heart Process -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Respiratory System Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Immune Response, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Renal Water Retention -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Renal Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Renal Water Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Detection Of Nodal Flow -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Heart Field Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Heart Induction -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
