Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Inositol Catabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pentose Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Immune Response
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cyclooxygenase Pathway -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Synapse, Epigenetic
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Proteostasis
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Sulfur Oxidation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Pentitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Taurine Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Oxalate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Proteostasis, Oxidative Stress
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Urea Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Urate Catabolic Process -> Biodomain: Purine Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Epigenetic, Metal Binding and Homeostasis
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ammonia Assimilation Cycle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Synapse
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Choline Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Homeostasis -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Defense Response, Response to Stimulus, Response to External Stimulus, Response to Biotic Stimulus
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Secondary Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Synapse
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Signaling, Inflammation, Immune Dysregulation, Cell Surface Receptor Activity
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Epigenetic
