Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Global Gene Silencing By Mrna Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Membrane Protein Complex -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Synapse, Immune Response
GO Term: Plasma Membrane Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Synapse
GO Term: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Non-Motile Cilium Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Neurotransmitter Reuptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Bmp Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Endoplasmic Reticulum Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Unknown
GO Term: Intestinal Folate Absorption -> Biodomain: Lipid Metabolism, Vasculature, Epigenetic, Immune Response, Proteostasis
GO Term: Presynaptic Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Presynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Synaptic Vesicle Trafficking, Membrane Trafficking
GO Term: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Transport Along Microtubule -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Postsynaptic Early Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Podocyte Foot -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Sequence-Specific Single Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Unknown
GO Term: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Hcn Channel Complex -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Membrane Microdomain -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Actin-Based Cell Projection -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Immune Response
GO Term: Cluster Of Actin-Based Cell Projections -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Cell Cycle, Proteostasis
GO Term: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Bone Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Epididymosome -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Unknown
GO Term: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Synapse Pruning -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Ion Channels, Cell Signaling, Neuronal Function, Structural Stabilization
GO Term: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Cardiac Conduction, Ion Channel Regulation, Cardiac Muscle Contractility, Cardiac Electrophysiology, Cardiac Signaling Pathways
GO Term: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Signal Transduction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Presynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Axonal Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Anterograde Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dendritic Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Receptor Diffusion Trapping -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Structural Stabilization, Tau Homeostasis
GO Term: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy
GO Term: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Glutamatergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cholinergic Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Gaba-Ergic Synapse -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuron To Neuron Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Vesicle Tethering -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Tethering Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ceramide Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Vesicle Tethering To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Vesicle Scission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Borc Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Supramolecular Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Postsynaptic Specialization Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, RNA Spliceosome
GO Term: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Channel Activator Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Potassium Channel Activator Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Unknown
GO Term: Ion Channel Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Microtubule-Based Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Chromosome, Subtelomeric Region -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
