Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Vasodilation -> Biodomain: Vasculature, Structural Stabilization, System Process, Biological Regulation, Circulatory System Process
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Circadian Rhythm, Sleep, Behavior, Neuronal Signaling, Neurotransmission
GO Term: Regulation Of Phosphorylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, APP Metabolism, Immune Response
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Endolysosome
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Steroid Related, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Vitamin E Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Menaquinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Vitamin K Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Vasculature, Proteostasis
GO Term: Paraspeckles -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Musculature, Plasma Membrane, Cell Adhesion/Signaling, Cellular Processes
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Histone Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Hormone Activity, Metabolism, Signaling, Cell Growth and Differentiation, Metabolic Regulation
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Taurine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Epinephrine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Vasculature
GO Term: Norepinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dopamine Biosynthetic Process -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Metal Binding and Homeostasis
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Choline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Serotonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Serotonin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Endolysosome
GO Term: Indole Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Pigment Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Epigenetic
GO Term: Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Progesterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Proteostasis
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Neuronal Development, Synapse, Sensory System Development, Cell Differentiation, Developmental Process
GO Term: Melanosome -> Biodomain: Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Vasculature
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Autophagy
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Neuronal Signaling, Myelination
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Developmental Biology, Anatomical Structure Morphogenesis, Mineralization, Connective Tissue
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Mechanoreceptor Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Epigenetic
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Differentiation, Epigenetic, Proteostasis
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Signal Transduction, Cell Cycle, Apoptosis
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Mcm Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Vasculature, Apoptosis
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Immune Response, Apoptosis
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Specific Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Azurophil Granule -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chromaffin Granule -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Chromaffin Granule Membrane -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, Autophagy
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Peptide Deformylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Glycogen Granule -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Zymogen Granule Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Synapse, Proteostasis
GO Term: Fear Response -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Immune Response, Proteostasis
GO Term: Lamellar Body -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, APP Metabolism
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Signaling, Receptor Binding, Cell Surface, Protein Binding
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Mating Plug Formation -> Biodomain: Reproductive Process, Multicellular Organismal Process, Behavior, Cell Communication, Developmental Process
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Structural Stabilization, Autophagy
GO Term: Regulation Of Hair Cycle -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Muscle Function, Proteostasis
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Cell Differentiation, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Developmental Biology, Regulation of Gene Expression and Transcriptional Control, Cell Differentiation and Cell Cycle Regulation, Signal Transduction and Regulatory Networks, Epigenetic
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Epigenetic, Tissue Development, Developmental Regulation, Cell Differentiation, Embryonic Development
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Cell Cycle  
Epigenetic  
Synapse  
Tau Homeostasis  
Myelination
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Neuron Development, Developmental Biology, Cell Differentiation, Sensory System, Regulation of Gene Expression
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Muscle Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Muscle Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Ovulation Cycle -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Apoptosis
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Reproductive Process, Hormone Signaling, Signal Transduction, Developmental Process, GPCR Signaling
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Immune Response
GO Term: Progesterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Uterine Wall Breakdown -> Biodomain: Vasculature, Apoptosis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Maternal Behavior -> Biodomain: Reproductive Behavior, Behavior, Parental Behavior, Multicellular Organismal Process, Reproductive Process
