Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Neuron Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Myelination -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Mcm Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hormone Binding -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Growth Factor Signaling, Proteostasis, Metabolism, Developmental Biology, Cell Growth and Proliferation
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Cell Cycle, Apoptosis
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Retinal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Specific Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Azurophil Granule -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chromaffin Granule -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Immune Response
GO Term: Chromaffin Granule Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Glycogen Granule -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Unknown
GO Term: Zymogen Granule Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glucose Homeostasis -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Energy Metabolism, Metabolic Pathways, Unknown
GO Term: Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Behavioral Response To Starvation -> Biodomain: Epigenetic, Synapse, Myelination, Autophagy, Lipid Metabolism
GO Term: Fear Response -> Biodomain: Synapse, Vasculature, Oxidative Stress, Epigenetic, Myelination
GO Term: Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Vasculature
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Mating Plug Formation -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Hair Cycle -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, DNA Repair
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Synapse, Cell Cycle
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Muscle Cell Fate Specification -> Biodomain: Muscle Cell Development, Cell Differentiation, Organ Development, Cell Fate Specification, Tissue Morphogenesis
GO Term: Ovulation Cycle -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Immune Response, Autophagy
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Endolysosome, Immune Response
GO Term: Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Uterine Wall Breakdown -> Biodomain: Apoptosis, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
