Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Endolysosome, Apoptosis
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Autophagy
GO Term: Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: APP Metabolism, Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bradykinin Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcitonin Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Unknown
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Vasculature
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis, Endolysosome
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Stress Response, Proteostasis, Synapse, Vasculature
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, APP Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Unknown
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Endolysosome
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Proteostasis, Unknown
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Unknown
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Vasculature, APP Metabolism
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, APP Metabolism
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, APP Metabolism, Structural Stabilization
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Apoptosis, Structural Stabilization
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Structural Stabilization
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Oxidative Stress
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Proteostasis, Immune Response, Synapse, Vasculature, Oxidative Stress
GO Term: Insulin Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Unknown
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Synapse
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, APP Metabolism, Apoptosis, Proteostasis, Vasculature
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Immune Response, Oxidative Stress
GO Term: Netrin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Apoptosis, Structural Stabilization, Unknown
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: APP Metabolism, Synapse, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Scavenger Receptor Activity -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Immune Response
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse, Apoptosis
GO Term: Signal Sequence Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, APP Metabolism, Vasculature, Immune Response, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Protein Kinase C Binding -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Structural Stabilization, Apoptosis
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Tau Homeostasis
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Immune Response
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Tau Homeostasis, Unknown
GO Term: Gtpase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Immune Response
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, APP Metabolism
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Endolysosome
GO Term: Notch Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Patched Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Unknown
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Vasculature, Endolysosome, Synapse
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Apoptosis
GO Term: Toll Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Apoptosis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Synapse
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Growth Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Mitochondrial Metabolism
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Unknown
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Unknown
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Inflammation, Endolysosome, Proteostasis, Synapse
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Unknown
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Immune Response, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin Receptor Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, APP Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Unknown
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Tau Homeostasis, Oxidative Stress
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Synapse, Vasculature
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Endolysosome
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Hormone Activity -> Biodomain: APP Metabolism, Immune Response, Lipid Metabolism, Synapse, Proteostasis
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Unknown, Endolysosome, Proteostasis, Immune Response, Synapse
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: APP Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Tau Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Proteostasis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Calcium Signaling, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
