Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, RNA Spliceosome
GO Term: Neuron Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neuron Fate Specification -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Cell Morphogenesis Involved In Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Axon Injury -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Axon Regeneration -> Biodomain: Synapse, Immune Response, Myelination, Tau Homeostasis, Proteostasis
GO Term: Negative Regulation Of Collateral Sprouting Of Intact Axon In Response To Injury -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Sprouting Of Injured Axon -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Myelination
GO Term: Positive Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Positive Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Generation Of Neurons -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Embryonic Cranial Skeleton Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Embryonic Neurocranium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Embryonic Viscerocranium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Embryonic Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Vasculature
GO Term: Embryonic Skeletal System Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Astrocyte Differentiation -> Biodomain: Glial Cells, Cellular Development, Neurogenesis, Nervous System Development, Cell Differentiation
GO Term: Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Astrocyte Differentiation -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Astrocyte Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Negative Regulation Of Astrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Epidermis Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: System Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Immune Response
GO Term: Gland Development -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Sebaceous Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cardiac Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Semicircular Canal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Pigment Granule Organization -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Branching Morphogenesis Of An Epithelial Tube -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Pigment Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Calcium-Induced Calcium Release Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Sarcomerogenesis -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Tissue Remodeling -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Immune Response
GO Term: Erythrophore Differentiation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Active Zone Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cytoskeleton Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Cytoskeletal Matrix Organization At Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Maintenance Of Presynaptic Active Zone Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Calcium Ion-Regulated Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Spontaneous Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Pronephros Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Genitalia Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Female Genitalia Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Male Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Neuron Projection Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Hair Follicle Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Erythrocyte Development -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Enucleate Erythrocyte Development -> Biodomain: Vasculature, Cell Cycle, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Inner Ear Development -> Biodomain: Sensory, Developmental Biology, Embryonic Development, Morphogenesis, Neurogenesis
GO Term: Otolith Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Endolysosome
GO Term: Venous Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hypophysis Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Epigenetic
GO Term: Diencephalon Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Autophagy, Apoptosis
GO Term: Forebrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Brain Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Neural Nucleus Development -> Biodomain: Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome
GO Term: Cell Projection Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Formation Of Anatomical Boundary -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Proteostasis
GO Term: Leukemia Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Cell Communication, Signal Transduction, Developmental Biology, Gene Expression Regulation
GO Term: Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Stem Cell Development -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Stem Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Cellular Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Vasculature
GO Term: Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Myelination
GO Term: Multicellular Organismal-Level Homeostasis -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Synapse
GO Term: Homeostasis Of Number Of Cells -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Immune Response, Proteostasis
GO Term: Homeostasis Of Number Of Cells Within A Tissue -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Host-Mediated Regulation Of Intestinal Microbiota Composition -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Homeostasis Of Number Of Retina Cells -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Synapse, Endolysosome
GO Term: Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Efferent Axon Development In A Lateral Line Nerve -> Biodomain: Myelination, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Peripheral Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Peripheral Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Peripheral Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Itaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: L-Fuconate Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: L-Pipecolate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: L-Xylulose Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Delta7-Sterol 5(6)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Leukotriene-B4 20-Monooxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Long-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methionine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Gulonate 3-Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Inositol Oxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Myosin-Light-Chain-Phosphatase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: N-Acylglucosamine 2-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: N-Acylneuraminate-9-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: N-Formylglutamate Deformylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nadp+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, DNA Repair
GO Term: Nadh Dehydrogenase (Quinone) (Non-Electrogenic) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nadph Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Nucleoside Monophosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Nucleoside Phosphotransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Omega-Amidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Omega-Hydroxydecanoate Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Oxaloacetate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Phenylpyruvate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Phosphatidylinositol Deacylase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: [Phosphorylase] Phosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Phytanate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Fucokinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Plasmanylethanolamine Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Procollagen Galactosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Propionate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Pathways, Autophagy, Proteostasis
GO Term: Prostaglandin-E Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin E2 9-Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Putrescine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Retinol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Retinol O-Fatty-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Endolysosome, Autophagy, Immune Response
GO Term: Retinyl-Palmitate Esterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Rhodopsin Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Ribitol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ribosylnicotinamide Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Rna Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Sedoheptulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Sphingomyelin Phosphodiesterase D Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Sphingosine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Steroid Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Steryl-Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Sulfur Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Tau-Protein Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Thiamine Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Thiosulfate-Thiol Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trans-L-3-Hydroxyproline Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Trimethyllysine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Triokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inorganic Triphosphate Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nitrite Reductase (No-Forming) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Calcium-Dependent Phospholipase C Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Transforming Growth Factor Beta Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Catecholamine Secretion -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Amyloid-Beta Metabolic Process -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Microfibril Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ethanolamine-Phosphate Phospho-Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: N-Acetylneuraminate Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Synapse, Endolysosome
