Running with TEMP=0.5, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Torc1 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Autophagy
GO Term: Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Permeability -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Vasculature, Immune Response
GO Term: Negative Regulation Of Cornification -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Protein Localization To Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Cytoplasmic Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Mitotic Spindle Astral Microtubule End -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of L-Proline Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Saliva Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Hard Palate Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Scf Ubiquitin Ligase Complex Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, DNA Repair
GO Term: Ccr4-Not Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: 8-Hydroxy-2'-Deoxyguanosine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization
GO Term: Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Protein Localization To Pericentriolar Material -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Puromycin -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Intraciliary Retrograde Transport -> Biodomain: Cilia, Cellular Trafficking, Signaling, Cellular Dynamics, Cellular Processes
GO Term: Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Synapse Pruning -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Regulation Of Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Cellular Response To Pyrimidine Ribonucleotide -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Negative Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, DNA Repair, Cell Cycle, Autophagy
GO Term: Epididymis Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Immune Response, Oxidative Stress
GO Term: Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Autophagy
GO Term: Negative Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Vasculature
GO Term: Negative Regulation Of Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Cellular Response To Very-Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Apoptosis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Response To Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Amyloid Fibril Formation -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Apoptosis, Synapse
GO Term: Methylglyoxal Reductase (Nadph) (Acetol Producing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Idp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Granular Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neurosecretory Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Retinal Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Mitotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Hippocampal Mossy Fiber Expansion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Vasomotion -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Pericellular Basket -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Pinceau Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Parallel Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Endolysosome
GO Term: Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism
GO Term: Lewy Body Core -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Lewy Body Corona -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Synapse
GO Term: Protein Localization To Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Stress-Induced Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Matrix -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Anterograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Retrograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Phosphatidic Acid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Activation Of Protein Kinase C Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Rpap3/R2Tp/Prefoldin-Like Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Epigenetic
GO Term: Trappi Protein Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Trappii Protein Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Trappiii Protein Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Polyuridylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cartilage Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trimethylamine Receptor Activity -> Biodomain: Sensory Perception, Neurotransmission, Membrane Trafficking, Signal Transduction, Cell Signaling
GO Term: Lens Fiber Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Response To Nerve Growth Factor -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Cellular Response To Nerve Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Calcium-Dependent Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Linear Deubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Spermatoproteasome Complex -> Biodomain: Proteostasis, Immune Response, DNA Repair, Autophagy, Apoptosis
GO Term: Rqc Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Rna Polymerase I Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Core Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rna Polymerase Iii Assembly -> Biodomain: Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Ribosome-Associated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: B Cell Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Gator1 Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gtr1-Gtr2 Gtpase Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Epithelial Cell Apoptotic Process Involved In Palatal Shelf Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Linoleate 9S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Molybdopterin Synthase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Maintenance Of Translational Fidelity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Oxidative Stress
GO Term: Talin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Vegf-A Complex -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Single-Strand Break-Containing Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Site Of Double-Strand Break -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Protein K27-Linked Deubiquitination -> Biodomain: Proteostasis, Epigenetic, Immune Response, Autophagy, Cell Cycle
GO Term: Protein K33-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Metal Binding and Homeostasis, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Receptor Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Protein Localization To Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Phosphodiesterase Decapping Endonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Eh Domain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Mitochondrial Trna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Amino Acid Transport Complex -> Biodomain: Transport, Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Euchromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Protein N-Terminal-Serine Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Protein-N-Terminal-Glutamate Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Desulfurase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Histone Methyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Paranodal Junction Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Iron-Sulfur Cluster Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sting Complex -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Transferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Steroid Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Histone H2At120 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Uniplex Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: N6-Methyladenosine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Leucine Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Keratin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Signal Clustering -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Histone H2Aq104 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Pre-Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Anti-Mullerian Hormone Receptor Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Proteostasis
