Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Vasculature
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signaling, Inflammation, GPCR Signaling, Cell Migration
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Synapse, Oxidative Stress
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Stress Response, Signaling Pathways, Cardiovascular System, Neuronal Signaling, Physiological Regulation
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Signal Transduction, Neurotransmitter Receptors & Transporters, Membrane Receptors & Channels, Cell Surface Receptor Activity
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Neuropeptide, GPCR, Signaling, Receptor, Cell Communication
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Calcitonin Receptor Activity -> Biodomain: Signal Transduction, Receptor Activity, Peptide Hormone Signaling, G-Protein Coupled Receptor Activity, Hormone-Mediated Signaling
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Icosanoid Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Epigenetic
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Glucagon Receptor Activity -> Biodomain: Signaling, Glucose Metabolism, Hormonal Signaling, Signal Transduction, Cell Membrane Receptor
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Leukotriene Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Corticotropin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Autophagy, Apoptosis
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Myelination
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Proteostasis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Immune Response, Vasculature
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Epigenetic
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Immune Response, Cell Cycle, Synapse, Apoptosis, Proteostasis
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Signal Transduction, Cell Adhesion, Neuronal Signaling, Cell Migration, Vasculature
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Vasculature, Autophagy
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Synapse, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Signal Transduction, Protein Interactions, Receptor Signaling, Cell Communication, Molecular Adapter Activity
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Protein Kinase C Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Vasculature, Proteostasis
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Cell Cycle, Signal Transduction, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Synapse
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Immune Response, Endolysosome
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Synapse, Immune Response
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Synapse, Myelination, Structural Stabilization
GO Term: Frizzled Binding -> Biodomain: Signaling, Cell Adhesion/Migration, Cell Surface Receptor Signaling, Development, Signal Transduction
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Notch Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Vasculature, Synapse
GO Term: Patched Binding -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Smoothened Binding -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Myelination, Structural Stabilization, Immune Response, Apoptosis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Immune Response, Proteostasis
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Surface Receptor, Signal Transduction, Inflammatory Response
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Receptor Binding, Cytokine Signaling, Innate Immunity
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Inflammatory Response, Cytokine Signaling, Immune System Regulation
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Vasculature
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Receptor Signaling, Cell Growth and Survival, Cell Communication, Immune Response, Proteostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Synapse, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Cell Cycle, Myelination, Epigenetic
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Neurotrophin Signaling, Cell Survival, Signal Transduction, Receptor Binding
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Immune Response, Autophagy
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Hormone Activity -> Biodomain: Signaling Molecules, Receptor Binding, Cell Signaling, Growth and Development, Metabolism
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Endocrine, Signal Transduction, Neuroendocrine Regulation, Cell Signaling, Reproduction
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Structural Stabilization
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Endolysosome, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Apoptosis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Calcium Signaling, Endolysosome, Apoptosis, Proteostasis, Synapse
