Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Membrane Destabilizing Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Zinc Ion Import Into Secretory Vesicle -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: Zinc Ion Import Into Zymogen Granule -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Zinc Ion Import Into Lysosome -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Zinc Ion Import Into Mitochondrion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Kynurenine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: L-Kynurenine Transmembrane Transporter Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Inhibition Of Non-Skeletal Tissue Mineralization -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Mannose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Fructose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: 5'-(N(7)-Methyl 5'-Triphosphoguanosine)-[Mrna] Diphosphatase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: 5'-(N(7)-Methylguanosine 5'-Triphospho)-[Mrna] Hydrolase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Histone H2B Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4K12 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Immune Response
GO Term: Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H4K20Me Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Histone H4K20 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Histone H4K20 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K4 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Histone H3K4 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K9Me2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K9 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K9 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H2A Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H3K27 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K27 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K36 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H3K36 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K79 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Target-Directed Mirna Degradation -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Endolysosome
GO Term: Multicellular Organismal-Level Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress
GO Term: Secondary Pirna Processing -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Polyspecific Organic Cation:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Medium-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Calcium:Manganese Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H4K12 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Atp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Adp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Primary Pirna Processing -> Biodomain: Epigenetic, Immune Response, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Pirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, Immune Response, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Histone H2A Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K4 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4K91 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ax Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Transposable Element Silencing By Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Transposable Element Silencing By Pirna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Immune Response, Autophagy, Proteostasis
GO Term: Transposable Element Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Purine Nucleotide Import Into Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ribosome Hibernation -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: G/T Mismatch-Specific Thymine-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol 3-Kinase Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase Inhibitor Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Proteostasis
GO Term: Very-Long-Chain 3-Oxoacyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Atg8-Family Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Histone H3K Deacetylase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Histone H2A Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2B Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H3 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Ubiquitin-Proteasome System, DNA Repair, Proteostasis, Cell Cycle
GO Term: Zygotic Genome Activation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Maternal Mrna Clearance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Autosome Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Metal Binding and Homeostasis
GO Term: Receptor Ligand Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Inflammasome-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Glucose Sensor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Protein Serine Pyrophosphorylase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Trna (Guanine(18)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna(Ser) (Uridine(44)-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Trna Methyltransferase Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Methyltransferase Regulator Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Transporter Regulator Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Transporter Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transporter Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Broken Chromosome Clustering -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Nitric Oxide Dioxygenase Activity, Heme Protein As Donor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Chromosomal Dna Methylation Maintenance Following Dna Replication -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Intracellular Signaling Cassette -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Immune Response
GO Term: Trna-Queuosine(34) Galactosyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Dna N6-Methyladenine Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Diphthine Methyl Ester Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Enoyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Nitric Oxide-Cgmp Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Glycerol-3-Phosphate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Camp/Pka Signal Transduction -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Negative Regulation Of Camp/Pka Signal Transduction -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Mitochondrial Protein Quality Control -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation Pathway -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation, Oxidation Pathway -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Dsdna-Rna Triple Helix-Forming Chromatin Adaptor Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Ufm1-Modified Protein Reader Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Atp:Atp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Receptor-Mediated Signaling Pathway -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Transposable Element Silencing By Pirna-Mediated Dna Methylation -> Biodomain: Epigenetic, DNA Repair, Immune Response, RNA Spliceosome, Proteostasis
GO Term: Protein Branched Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Protein Metabolism, Cell Cycle
GO Term: Utp Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dipeptide Transmembrane Transport From Lysosomal Lumen To Cytosol -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Peptide Lactyltransferase (Atp-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Nad-Dependent Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: N-Acetyltaurine Hydrolase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Rna Glycosylation -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Histone Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Primary Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Enzyme Activator Complex -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Clathrin-Dependent Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Apical Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Basal Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Basal Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Basal Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Apical Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidised Low-Density Lipoprotein Particle Clearance -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Oxidised Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Distal Axon -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Structural Constituent Of Synapse-Associated Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Regulation Of Postsynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Signal Transduction, Neurotransmission, Cellular Signaling, Ion Homeostasis
GO Term: Cerebellar Granule Cell To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Postsynaptic Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cerebellar Climbing Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Amylin Receptor Complex 1 -> Biodomain: Synapse, Proteostasis, APP Metabolism, Vasculature, Mitochondrial Metabolism
GO Term: Amylin Receptor Complex 2 -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Lipid Metabolism
GO Term: Amylin Receptor Complex 3 -> Biodomain: APP Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Amylin Receptor 1 Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Amylin Receptor 2 Signaling Pathway -> Biodomain: Vasculature, APP Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Amylin Receptor 3 Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Complement-Mediated Synapse Pruning -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Visual System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Vertebrate Eye-Specific Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress, Immune Response
GO Term: Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
