Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Blue Light Signaling Pathway -> Biodomain: Photoreceptor Activity, Synapse, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Epigenetic
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Myelination
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Coumarin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Flavonoid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Vasculature
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Immune Response
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Oxidative Stress, Epigenetic, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Myelination, Mitochondrial Metabolism
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: External Side Of Plasma Membrane -> Biodomain: Immune Response, Synapse, Myelination, APP Metabolism, Apoptosis
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Hormone Transport -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Cell Tip Growth -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Endolysosome, RNA Spliceosome
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Radial Pattern Formation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Signal Transduction -> Biodomain: Signal Transduction, Cell Communication, Molecular Signaling, Intracellular Signaling, Cell Activation
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cell Surface -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Proteostasis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: Intracellular Water Homeostasis -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Synapse, Epigenetic
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Response To Aluminum Ion -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Specification Of Animal Organ Identity -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, RNA Spliceosome
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Specification Of Animal Organ Position -> Biodomain: Morphogenesis, Developmental Biology, Cell Differentiation, Pattern Formation, Regulation of Developmental Process
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Vasculature
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Endomembrane System Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Response To Silver Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Immune Response
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Endolysosome
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Autophagy, Vasculature
GO Term: Chromocenter -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Autophagy, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Epigenetic
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Cell Cycle
GO Term: Cytoplasmic Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Myelination
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Immune Response, Synapse
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Telomerase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Autophagy
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Apoptosis
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, Immune Response, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, RNA Spliceosome
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Glycosylation, Post-Translational Modification, Protein Metabolism, Cell Communication, Glycoconjugate Metabolism
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Glycosylation, Post-translational Modification, Protein Synthesis, Secretory Pathway, Signal Transduction
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Glycosylation, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
