Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Protein-Hormone Receptor Activity, Immune Response, Cell Cycle, Proteostasis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Synapse
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Somatostatin Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Lipid Metabolism
GO Term: Tachykinin Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Immune Response
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Vasculature, Proteostasis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Tau Homeostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, APP Metabolism, Synapse
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, APP Metabolism
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Cell Cycle
GO Term: Insulin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Tau Homeostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, APP Metabolism
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Osmosensor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Signal Sequence Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, RNA Spliceosome, APP Metabolism
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Laminin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Tau Homeostasis, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Protein Kinase C Binding -> Biodomain: APP Metabolism, Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, APP Metabolism, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, APP Metabolism
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Autophagy, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Gtpase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Signaling Receptor Binding -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Immune Response
GO Term: Frizzled Binding -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Notch Binding -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Cell Cycle
GO Term: Patched Binding -> Biodomain: Synapse, Apoptosis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Vasculature
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signal Transduction, Immune Response, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Immune Response, Tau Homeostasis
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cytokine Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Synapse
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Synapse, Autophagy
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, APP Metabolism
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Synapse, Immune Response
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Endolysosome
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Vasculature
GO Term: Hormone Activity -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Hormonal Activity, Immune Response, Synapse, Proteostasis, Oxidative Stress
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, APP Metabolism, Immune Response, Apoptosis, Oxidative Stress
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Structural Molecule Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Cytoskeleton
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Immune Response, Endolysosome
GO Term: Structural Constituent Of Eye Lens -> Biodomain: APP Metabolism, Proteostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Synapse
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Tau Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
