Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Melanocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Melanocyte Differentiation -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Megakaryocyte Differentiation -> Biodomain: Vasculature, Apoptosis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Osteoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Osteoblast Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Osteoblast Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Osteoclast Differentiation -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ketoreductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Immune Response
GO Term: Negative Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Integrin Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Positive Regulation Of Translation -> Biodomain: Proteostasis, Cell Cycle, Synapse, Immune Response, Autophagy
GO Term: Respiratory Burst After Phagocytosis -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Positive Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Endolysosome, Vasculature, Autophagy, Epigenetic
GO Term: Positive Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Growth and Development, Tissue Repair and Regeneration, Developmental Biology, Cell Proliferation and Differentiation
GO Term: Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Notch Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Cell Cycle, Immune Response, Vasculature
GO Term: Positive Regulation Of Notch Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Action Potential -> Biodomain: Synapse, Ion Homeostasis, Axon Guidance, Neurotransmission, Structural Stabilization
GO Term: Positive Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Negative Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Negative Regulation Of Bone Resorption -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Bone Resorption -> Biodomain: Immune Response, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Size -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Size -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Volume -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Cell Volume -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Negative Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Positive Regulation Of Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Apoptosis, Vasculature
GO Term: Negative Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Glycogen Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Heart Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Isotype Switching -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Membrane Potential -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Membrane Potential -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Striated Muscle Tissue Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Ph Reduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Ph Elevation -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Protein Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Smoothened Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Translational Elongation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Immune Response
GO Term: Positive Regulation Of Translational Elongation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Synapse
