Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Sesquiterpenoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isoprenoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Terpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Eye Pigment Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Tetrahydrobiopterin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: One-Carbon Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Nicotinamide Riboside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nadp+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nadph Regeneration -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Nadp+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadp+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Ubiquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fad Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glutathione Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glutathione Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Phosphate Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Folic Acid-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Biotin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nicotinamide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair
GO Term: Riboflavin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Thiamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Vitamin A Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Structural Stabilization, Immune Response
GO Term: Mo-Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Porphyrin-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Porphyrin-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Uroporphyrinogen Iii Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Biosynthesis, Oxidative Stress, Lipid Metabolism
GO Term: Succinyl-Coa Pathway -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protoporphyrinogen Ix Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Heme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Heme B Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Porphyrin-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Heme Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Bilirubin Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sulfur Compound Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Phosphate-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Xenobiotic Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Nitrogen Utilization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Endolysosome
GO Term: Monoatomic Cation Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Sodium Ion Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Myelination
GO Term: Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Phosphate Ion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Monoatomic Anion Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Vasculature, Oxidative Stress
GO Term: Chloride Transport -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Myelination
GO Term: Cobalt Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Manganese Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Water Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dicarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Neurotransmitter Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Serotonin Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrial Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Tricarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Citrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Pyruvate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Import Into Mitochondria -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Mitochondrial Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Carnitine Shuttle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Xenobiotic Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Oligopeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Extracellular Transport -> Biodomain: Vasculature, Immune Response, Synapse, Myelination, APP Metabolism
GO Term: Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Immune Response, Autophagy
GO Term: Purine Nucleobase Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Pyrimidine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, DNA Repair, Autophagy
GO Term: Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Asparagine Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Intracellular Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Ion Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Intracellular Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Intracellular Zinc Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Intracellular Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Synapse, Structural Stabilization
GO Term: Cell Volume Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Ph -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Vesicular Trafficking, Lipid Metabolism, Organelle Biogenesis and Maintenance, Membrane Dynamics
GO Term: Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Intra-Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Post-Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Golgi To Plasma Membrane Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Golgi To Endosome Transport -> Biodomain: Endolysosome, Vesicular Trafficking, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Endocytosis -> Biodomain: Endolysosome, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Vesicle Budding From Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vesicle Targeting -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Vesicle Docking Involved In Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Vesicle Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Phagocytosis, Recognition -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Nucleocytoplasmic Transport -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Autophagy -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Cellular Component Disassembly Involved In Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Inflammatory Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Substrate-Dependent Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Substrate-Dependent Cell Migration, Cell Extension -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Synapse
GO Term: Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Cell Migration, Adhesion, Structural Stabilization, Cytoskeletal Organization, Extracellular Matrix
GO Term: Negative Regulation Of Cell Adhesion Involved In Substrate-Bound Cell Migration -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Apoptosis
GO Term: Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Muscle Contraction -> Biodomain: Muscle System, Signal Transduction, Structural Stabilization, Vasculature, Proteostasis
GO Term: Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Striated Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Syncytium Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acute-Phase Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Inflammatory Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Defense Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Hypotonic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Dna Damage Response -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Er Overload Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Er-Nucleus Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Response To Unfolded Protein -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Nitrogen Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Organelle Organization -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Nucleus Organization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Nuclear Envelope Organization -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Nuclear Pore Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Nucleolus Organization -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Inner Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Plasma Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Actin Ubiquitination -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Actin Filament Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Endolysosome
GO Term: Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Microtubule-Based Movement -> Biodomain: Cell Cycle, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Tubulin Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Cell Cycle
GO Term: Post-Chaperonin Tubulin Folding Pathway -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Cytoplasm Organization -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Endoplasmic Reticulum Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Golgi Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Vacuolar Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Vacuolar Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Lysosomal Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lysosomal Lumen Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Cell-Cell Junction Assembly -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Cell-Substrate Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Spindle Assembly Involved In Female Meiosis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Spindle Assembly Involved In Female Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Male Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
