Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Cell Adhesion, Structural Stabilization, Cell Growth And Survival, Vasculature, Immune Response
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Synapse
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Synapse
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: U11/U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Prostaglandin F -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Response To Gonadotropin -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Epigenetic, Immune Response
GO Term: Response To Luteinizing Hormone -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Cation Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Apoptosis
GO Term: Potassium Channel Complex -> Biodomain: Synapse, Vasculature, Myelination, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Chloride Channel Complex -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, Proteostasis
GO Term: Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Methylosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Inhibin Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Picln-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Smn-Gemin2 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Structural Stabilization, Cell Cycle
GO Term: Smn-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, DNA Repair
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Autophagy, Mitochondrial Metabolism, Myelination
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Vasculature, Endolysosome
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Basement Membrane Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Secretory Granule Lumen -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Glutathione Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Apoptosis
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Caffeine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Set3 Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress, Autophagy
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Iron Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Immunoglobulin Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Synapse
GO Term: Fc-Gamma Receptor I Complex Binding -> Biodomain: Immune Response, Proteostasis, Signal Transduction, Epigenetic, Vasculature
GO Term: Meiotic Nuclear Membrane Microtubule Tethering Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Subapical Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: 1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Somatic Stem Cell Population Maintenance -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Rac Protein Signal Transduction -> Biodomain: Oxidative Stress, Immune Response, Structural Stabilization, Synapse, Cell Cycle
GO Term: Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Cell Cycle
GO Term: Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Vasculature
GO Term: Negative Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Leading Edge Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Histone Deacetylase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Histone Acetyltransferase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Histone Acetyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Sperm-Egg Recognition -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Sperm Entry -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Female Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Male Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Sperm Dna Decondensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Embryonic Heart Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Embryonic Heart Tube Anterior/Posterior Pattern Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Brahma Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Interchromatin Granule -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Nuclear Speck Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Or Maintenance Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Establishment Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Sperm Dna Condensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: Behavioral Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Histone Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Esc/E(Z) Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Fact Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Prc1 Complex -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair
GO Term: Operant Conditioning -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Genitalia Morphogenesis -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Post-Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Post-Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Exon-Exon Junction Complex -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Structural Stabilization, Endolysosome
GO Term: Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Tube Size -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Embryonic Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Post-Embryonic Hemopoiesis -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Histone Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3S10 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Social Behavior -> Biodomain: Synapse, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Rb-E2F Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulatory Ncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Mirna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Immune Response, Autophagy
GO Term: Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Sirna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Autophagy, Proteostasis
GO Term: Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Competition In A Multicellular Organism -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glutamate-Cysteine Ligase Catalytic Subunit Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ionotropic Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Vitamin A Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy, Apoptosis
GO Term: Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Dopamine Binding -> Biodomain: Synapse, Receptor Signaling, Neurotransmitter Systems, Signaling Pathways, Molecular Interaction
GO Term: Protein-Arginine Omega-N Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Protein-Arginine Omega-N Asymmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Protein-Arginine Omega-N Symmetric Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, DNA Repair
GO Term: Peptidyl-Arginine N-Methylation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Alpha-1,4-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Endolysosome
GO Term: Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Udp-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Udp-Glucosyltransferase Activity -> Biodomain: Glycosylation, Post-translational Modification, Enzyme Activity, Metabolic Processes, Proteostasis
GO Term: Udp-Xylosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Ciliary Rootlet -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ionotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nuclear Glucocorticoid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: External Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Gonad Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Multicellular Organism Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Organ Growth -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Nua4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
