Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Endolysosome
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Inflammation, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Trabecular Meshwork Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Response To Ischemia -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Proteostasis, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Trna N1-Guanine Methylation -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Trna N2-Guanine Methylation -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Trna C5-Cytosine Methylation -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Endolysosome, Apoptosis
GO Term: Regionalization -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Apoptosis
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: System Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Muscle System Process -> Biodomain: Muscle System, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Circulatory System Process -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Renal System Process -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Respiratory System Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Autophagy, Proteostasis
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Epigenetic, Autophagy
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Synapse
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Renal Water Retention -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Renal Sodium Ion Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Renal Water Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Detection Of Nodal Flow -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Heart Field Specification -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Heart Induction -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Vasculature
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
