Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Synapse
GO Term: Trapp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Immune Response
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Proteostasis
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Myofibril -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Z Disc -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix, Connective Tissue
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Immune Response
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Actin Cytoskeleton, Synapse, Cell Migration, Proteostasis
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Vasculature
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Endolysosome
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Desmosome -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Peptide Hormone Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Hemopoiesis -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Cell Signaling, Cell Communication, Cytotoxicity, Inflammation
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Cell Cycle, Autophagy
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Vasculature, Synapse
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Membrane Coat -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Synapse
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Copi-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Lipid Metabolism
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Myelination
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Pancreatic Juice Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, APP Metabolism, Autophagy
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Epigenetic
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Troponin C Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Synapse
