Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Positive Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Oxidative Stress
GO Term: Organelle Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Negative Regulation Of Bone Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Vasculature
GO Term: Positive Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Positive Regulation Of Exo-Alpha-Sialidase Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, DNA Repair
GO Term: Negative Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Immune Response
GO Term: Regulation Of Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Opsonization -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Protein Localization To Membrane Raft -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Unknown
GO Term: Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Melanosome Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Immune Response
GO Term: Negative Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Positive Regulation Of C-C Chemokine Receptor Ccr7 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Protein Localization To Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Protein Localization To Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mononuclear Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cupric Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cuprous Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Adrenomedullin Receptor Complex -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glyoxal Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of L-Dopa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Endodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, RNA Spliceosome
GO Term: Positive Regulation Of Endodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Mrna Base-Pairing Post-Transcriptional Repressor Activity -> Biodomain: Proteostasis, Epigenetic, Endolysosome, RNA Spliceosome, Autophagy
GO Term: Melanosome Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: U2-Type Prespliceosome Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Exon-Exon Junction Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sodium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Potassium Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis, Vasculature
GO Term: Protein Localization To Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Structural Stabilization
GO Term: Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Neurotransmitter Signaling, Excitatory Neurotransmission, Synaptic Regulation, Glutamatergic Signaling
GO Term: Negative Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Glycolysis and Glucose Metabolism, Metabolic Pathways, Oxidative Stress, Cell Signaling
GO Term: Regulation Of Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Regulated Secretory Pathway -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Positive Regulation Of Regulated Secretory Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Maturation -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Omegasome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Dopamine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Cellular Response To Dopamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Nucleus Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Golgi Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Protein Localization To Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Positive Regulation Of Fear Response -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Facioacoustic Ganglion Development -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Negative Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Synapse
GO Term: Negative Regulation Of Hydrogen Peroxide-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Positive Regulation Of Homophilic Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Unknown
GO Term: Negative Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Protein Localization To Kinetochore Involved In Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: L-Lysine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Renal Phosphate Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Renal Phosphate Excretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Bile Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Bile Acid -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Glycoside -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Localization To Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Fluoride Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Regulation Of Torc1 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Positive Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Ciliary Membrane -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Response To Lipoic Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis
