Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Permeability -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cornification -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Localization To Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Cytoplasmic Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Mitotic Spindle Astral Microtubule End -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Positive Regulation Of L-Proline Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Saliva Secretion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Hard Palate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Positive Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Scf Ubiquitin Ligase Complex Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Endolysosome
GO Term: Ccr4-Not Complex Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Proteostasis, Cell Cycle
GO Term: Regulation Of Mesodermal Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Mesodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Lipid Metabolism
GO Term: 8-Hydroxy-2'-Deoxyguanosine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Protein Localization To Pericentriolar Material -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Cellular Response To Puromycin -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Regulation Of Intraciliary Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Excitatory Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Synapse Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Excitatory Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Pyrimidine Ribonucleotide -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, DNA Repair, Cell Cycle
GO Term: Epididymis Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Vasculature, Autophagy
GO Term: Negative Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Proteostasis, Endolysosome, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Vasculature
GO Term: Negative Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Postsynaptic Density Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Vasculature, Endolysosome
GO Term: Regulation Of Cellular Response To Very-Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, RNA Spliceosome, Lipid Metabolism
GO Term: Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Apoptosis, Synapse
GO Term: Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Apoptosis
GO Term: Regulation Of Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Response To Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Amyloid Fibril Formation -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Endolysosome, Autophagy
GO Term: Methylglyoxal Reductase (Nadph) (Acetol Producing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Idp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Granular Vesicle -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Neurosecretory Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Retinal Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Mitotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Hippocampal Mossy Fiber Expansion -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Vasomotion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Pericellular Basket -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Pinceau Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Tau Homeostasis
GO Term: Parallel Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lewy Body Core -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Lewy Body Corona -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Localization To Lipid Droplet -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Stress-Induced Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Matrix -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Anterograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, APP Metabolism
GO Term: Retrograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Phosphatidic Acid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Myelination
GO Term: Activation Of Protein Kinase C Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Synapse
GO Term: Rpap3/R2Tp/Prefoldin-Like Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Trappi Protein Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Trappii Protein Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Trappiii Protein Complex -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Polyuridylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cartilage Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Trimethylamine Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response
GO Term: Lens Fiber Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Response To Nerve Growth Factor -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Nerve Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Calcium-Dependent Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Linear Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Spermatoproteasome Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, Endolysosome
GO Term: Rqc Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Rna Polymerase I Assembly -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Rna Polymerase Ii Core Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Rna Polymerase Iii Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Ribosome-Associated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: B Cell Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Gator1 Complex -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Gtr1-Gtr2 Gtpase Complex -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Epithelial Cell Apoptotic Process Involved In Palatal Shelf Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Linoleate 9S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Neuron Projection Extension -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Molybdopterin Synthase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Maintenance Of Translational Fidelity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Epigenetic
GO Term: Talin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Vegf-A Complex -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Single-Strand Break-Containing Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Protein Localization To Site Of Double-Strand Break -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Protein K27-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Epigenetic
GO Term: Protein K33-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: G Protein-Coupled Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein Localization To Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Phosphodiesterase Decapping Endonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Eh Domain Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Mitochondrial Trna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Amino Acid Transport Complex -> Biodomain: Amino Acid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Euchromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Protein N-Terminal-Serine Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Protein-N-Terminal-Glutamate Acetyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Oxidoreductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Desulfurase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Histone Methyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Paranodal Junction Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Iron-Sulfur Cluster Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sting Complex -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Transferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Double-Stranded Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Steroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Histone H2At120 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Uniplex Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: N6-Methyladenosine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Leucine Starvation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Keratin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Signal Clustering -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Vasculature
GO Term: Histone H2Aq104 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Pre-Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Anti-Mullerian Hormone Receptor Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Vasculature, Epigenetic
GO Term: Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Platelet-Derived Growth Factor Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
