Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Cohesin Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Signaling Pathways, Ion Homeostasis, Membrane Trafficking and Endocytosis, Proteostasis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Apoptosis
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Integrin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Behavior, Nervous System Process, Learning or Memory
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Synapse, Epigenetic, DNA Repair, Proteostasis
GO Term: Protein Prenyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Synapse, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Lipid Metabolism
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Determination Of Adult Lifespan -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glial Cell Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Katanin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Germ Cell Migration -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Behavior, Nervous System, Learning or Memory
GO Term: Asymmetric Cell Division -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cell Shape -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Cell Size -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Sialyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: O-Acyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Galactosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Cell Cycle
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Immune Response, Vasculature
GO Term: Steroid Hydroxylase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Gonad Development -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: 3'-5' Exonuclease Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Synapse
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Oxidative Stress
GO Term: Coa-Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Fucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, DNA Repair
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Structural Stabilization
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Jun Kinase Binding -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Structural Stabilization
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic,Synapse,Proteostasis,Autophagy,DNA Repair
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Cell Cycle
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
