Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 6000 to 6499
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Motility, Myelination
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis, Synapse
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Structural Stabilization, Immune Response, Autophagy, Endolysosome
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Metencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Corpus Callosum Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Endolysosome
GO Term: Hair Cycle Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Membrane Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Reproductive Process -> Biodomain: Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ovulation Cycle Process -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Mammalian Oogenesis Stage -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Proteostasis, Tau Homeostasis
GO Term: Cellular Component Assembly -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Endolysosome, Autophagy
GO Term: Gland Morphogenesis -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Protein To Membrane Docking -> Biodomain: APP Metabolism, Endolysosome, Synapse, Proteostasis, Lipid Metabolism
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Extracellular Matrix Disassembly -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Protein-Rna Complex Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Leak Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, APP Metabolism
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Neurotransmitter Signaling, Proteostasis, Immune Response, Endolysosome
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Calcium Homeostasis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Immune Response, Proteostasis, Tau Homeostasis, Epigenetic, Apoptosis
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, APP Metabolism
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Signaling -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Signaling -> Biodomain: Signaling, Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Positive Regulation Of Signaling -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Trapp Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Establishment Of Cell Polarity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Apoptosis
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Immune Response
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Synapse
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Lamellipodium -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Actin Filament-Based Process -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Microvillus Assembly -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Vasculature
GO Term: Microspike Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Autophagy
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Actin Filament Fragmentation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Actin Filament-Based Movement -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Muscle Filament Sliding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Cell Junction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, APP Metabolism
GO Term: Hemidesmosome -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Peptide Hormone Secretion -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Hemopoiesis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Autophagy
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Cell Cycle, Vasculature
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Regulation Of Endocytosis -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Hormone Secretion, Cell-Cell Signaling, Regulation of Biological Process, Transport
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Synapse
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Autophagy
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Membrane Coat -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Clathrin Coat -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Vesicle Coat -> Biodomain: APP Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex -> Biodomain: APP Metabolism, Endolysosome, Synapse, Proteostasis, Immune Response
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Ap-4 Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Clathrin Vesicle Coat -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Clathrin Adaptor Complex -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Autophagy
GO Term: Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Copi-Coated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Cell Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Cell Adhesion -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Immune Response, Structural Stabilization
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pancreatic Juice Secretion -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Synapse, APP Metabolism, Proteostasis, Endolysosome
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Platelet Activation -> Biodomain: Vasculature, Immune Response, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Oxidative Stress, Endolysosome
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Synapse
GO Term: Troponin C Binding -> Biodomain: Calcium Signaling, Proteostasis, Structural Stabilization, Synapse, Tau Homeostasis
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Filopodium -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Cell Cycle
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: Melatonin Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis, Immune Response
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, APP Metabolism, Oxidative Stress, Proteostasis
