Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Attachment Of Gpi Anchor To Protein -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: N-Glycan Processing To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Selenocysteine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Selenocysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Selenocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Glycoprotein-N-Acetylgalactosamine 3-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Synapse, Immune Response
GO Term: Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Core O-Glycan Biosynthetic Process -> Biodomain: Glycosylation, Metabolism, Post-Translational Modification (PTM), Epithelial Function, Cell Adhesion
GO Term: Core 2 O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, Epigenetic
GO Term: Core 3 O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Endolysosome, Structural Stabilization
GO Term: Prefoldin Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Protein-Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Immune Response
GO Term: Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Protein-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 4F Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Eukaryotic 43S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Alanyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Small Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glycerone-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Fatty Acyl-[Acp] Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna (Uridine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: 1-Phosphatidylinositol-3-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: 1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: 1-Phosphatidylinositol-5-Phosphate 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Dephosphorylation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Inositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane Fusion -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Epigenetic
GO Term: Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome, Vasculature
GO Term: Apical Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: Apicolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Lateral Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Morphogenesis Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Establishment Or Maintenance Of Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Myelination
GO Term: Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Calcium-Dependent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Catenin Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Meiotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Activin Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Activin Receptor Activity, Type Ii -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Nuclear Matrix -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Palmitoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Pristanoyl-Coa Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dimethylargininase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Vasculature
GO Term: Coa-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Endolysosome
GO Term: N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Serine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Trna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Trna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Trna (Cytidine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Trna-Uridine Aminocarboxypropyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Rrna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Rrna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Trna-Queuosine(34) Beta-Mannosyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Risc Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Somatic Cell Dna Recombination -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Somatic Diversification Of Immunoglobulins -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Somatic Hypermutation Of Immunoglobulin Genes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Somatic Recombination Of Immunoglobulin Gene Segments -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Myosin Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Metal Binding and Homeostasis
GO Term: Myosin Ii Complex -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Unconventional Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, RNA Spliceosome, DNA Repair
GO Term: Proton-Transporting Two-Sector Atpase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Embryonic Cell Shape -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Cytosolic Transport -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Peptide Hormone Processing -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Farnesol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: G Protein-Coupled Neurotensin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: C-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: C-X-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: C-X3-C Chemokine Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Vasculature, Apoptosis, Proteostasis
GO Term: Substance P Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Substance K Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Orexin Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Protein-Hormone Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, Vasculature
GO Term: Prostacyclin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Pheromone Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Peptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Peptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Fatty Acid Beta-Oxidation Multienzyme Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Core-Binding Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Swi/Snf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-13 Receptor Activity -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Surface Receptor, Proteostasis
GO Term: Interleukin-12 Receptor Activity -> Biodomain: Immune Response, Signaling, Inflammatory Response, Cell Surface Receptor, Cytokine Signaling
GO Term: Gastric Inhibitory Peptide Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Autophagy, Oxidative Stress
GO Term: Growth Hormone-Releasing Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Pituitary Adenylate Cyclase Activating Polypeptide Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Latrotoxin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Sarcoplasm -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sarcoplasmic Reticulum -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Metallochaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Copper Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Superoxide Dismutase Copper Chaperone Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Kinase 5 Complex -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Intein-Mediated Protein Splicing -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, DNA Repair, Autophagy
GO Term: Protein Autoprocessing -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, APP Metabolism
GO Term: Base Conversion Or Substitution Editing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Cytidine To Uridine Editing -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair
GO Term: Peroxisome Membrane Biogenesis -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Import Into Peroxisome Matrix -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Peroxisome Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Docking -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Translocation -> Biodomain: Proteostasis,Lipid Metabolism,Mitochondrial Metabolism,Autophagy,Oxidative Stress
GO Term: Protein Import Into Peroxisome Matrix, Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Nurd Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rsc-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Nurf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Acf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii, Holoenzyme -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mediator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Cdc73/Paf1 Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Glycine Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Glutamate Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Amino Acid Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, APP Metabolism
GO Term: Protein Arginylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Flotillin Complex -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Ccaat-Binding Factor Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, DNA Repair, Proteostasis, Autophagy
GO Term: Glutaminyl-Peptide Cyclotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nuclear Body -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
