Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cytochrome Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Tear Secretion -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Endolysosome
GO Term: Titin Z Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Clathrin-Sculpted Monoamine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Chromo Shadow Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Chloride-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Immune Response
GO Term: Glucagon Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Vasculature
GO Term: Positive Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Fructose-6-Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Delta-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-27-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Complex -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Ciliary Neurotrophic Factor Binding -> Biodomain: Synapse, Immune Response, Myelination, Structural Stabilization, Proteostasis
GO Term: Ciliary Neurotrophic Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Iii -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Mitochondrial Translational Initiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Translational Elongation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Mitochondrial Translational Termination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Trna Aminoacylation For Mitochondrial Protein Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Sumo-Specific Endopeptidase Activity -> Biodomain: Proteostasis, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Response To Uv-A -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Mitochondrial Alanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Protein Synthesis, Organelle Function, Metabolic Processes
GO Term: Mitochondrial Asparaginyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Mitochondrial Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Threonyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Anchoring Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Negative Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Adiponectin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Skeletal System, Cell Differentiation, Developmental Biology
GO Term: Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Drm Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: D-Serine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Serine Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Large Ribosomal Subunit Rrna Binding -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Small Ribosomal Subunit Rrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Dna Polymerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitochondrial Tryptophanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Tyrosyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Growth Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Shelterin Complex -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Synaptonemal Complex Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Synaptonemal Complex Disassembly -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Autophagy
GO Term: Growth Hormone Receptor Complex -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Meiotic Attachment Of Telomere To Nuclear Envelope -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Protein Localization To Chromosome, Telomeric Region -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Establishment Of Protein Localization To Chromosome -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein Trimerization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Homotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Heterotrimerization -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Rpd3L-Expanded Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein Poly-Adp-Ribosylation -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Protein Auto-Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Cell Cycle
GO Term: Sulfide Oxidation, Using Sulfide:Quinone Oxidoreductase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Sulfide:Quinone Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Activated T Cell Autonomous Cell Death -> Biodomain: Apoptosis, Immune Response, Regulation, Cell Cycle, Proteostasis
GO Term: Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Natural Killer Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Pristanate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Actin-Mediated Cell Contraction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Somatostatin Secretion -> Biodomain: Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Endolysosome, Structural Stabilization, Vasculature
GO Term: Regulation Of Mucus Secretion -> Biodomain: Proteostasis, Autophagy, Immune Response, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Mucus Secretion -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mucus Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Structural Stabilization
GO Term: Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: 5'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Peptidyl-Serine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Tau Homeostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cornification -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol-4-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Res Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Vitamin B6 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyridoxal Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Pigment Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Axonemal Dynein Complex Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ferritin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ferritin Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: N-Acylphosphatidylethanolamine-Specific Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: N-Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: N-Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Renal Absorption -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Renal Sodium Ion Absorption -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Renal Water Absorption -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cellular Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, DNA Repair
GO Term: Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Response To Cgmp -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Lens Fiber Cell Differentiation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Lens Fiber Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lens Fiber Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Atr-Atrip Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: G1 To G0 Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: G1 To G0 Transition Involved In Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Inward Rectifier Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Thyroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Thyroid Hormone Transport -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Aromatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Aspartate Binding -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Flap-Structured Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: 3'-Flap-Structured Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
