node,nodeID,root node,root node ID,biodomain_1,biodomain_2,biodomain_3,biodomain_4,biodomain_5
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,,,,Apoptosis,Signal Transduction,Immune System and Inflammation,Cell Cycle,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,GO:1903215,biological_process,GO:0008150,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Signal Transduction
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,,,,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus,Epigenetic Regulation,System and Developmental Process
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION,GO:1903371,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Lipid Metabolism,Structural Stabilization,Molecular Transport and Homeostasis
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,GO:1903509,,,Immune System and Inflammation,Lipid Metabolism,Response to Stimulus,Molecular Transport and Homeostasis,Signal Transduction
GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,GO:1903513,,,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,GO:1903573,biological_process,GO:0008150,Protein Metabolism and Trafficking,Response to Stimulus,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Autophagy
GOBP_REGULATION_OF_GAP_JUNCTION_ASSEMBLY,GO:1903596,biological_process,GO:0008150,Cell Adhesion and Interaction,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_GAP_JUNCTION_ASSEMBLY,GO:1903598,biological_process,GO:0008150,Cell Adhesion and Interaction,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus
GOBP_REGULATION_OF_AEROBIC_RESPIRATION,GO:1903715,biological_process,GO:0008150,Mitochondrial Function and Metabolism,Signal Transduction,System and Developmental Process,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,GO:1903753,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Immune System and Inflammation,Cell Cycle,Transcription and Translation Machinery
GOBP_REGULATION_OF_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,GO:1903789,,,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_NEGATIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,,,,Neurotransmission and Synaptic Regulation,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,GO:1903844,,,Signal Transduction,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Cell Adhesion and Interaction
GOBP_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903894,biological_process,GO:0008150,Response to Stimulus,Protein Metabolism and Trafficking,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903895,biological_process,GO:0008150,Protein Metabolism and Trafficking,Response to Stimulus,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis
GOBP_POSITIVE_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903896,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis
GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903897,biological_process,GO:0008150,Response to Stimulus,Protein Metabolism and Trafficking,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:1903898,biological_process,GO:0008150,Signal Transduction,Protein Metabolism and Trafficking,Response to Stimulus,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics
GOBP_POSITIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,GO:1903902,biological_process,GO:0008150,Response to Stimulus,Immune System and Inflammation,Signal Transduction,Transcription and Translation Machinery,Intracellular Trafficking and Organelle Dynamics
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_CLUSTERING,GO:1903911,biological_process,GO:0008150,Signal Transduction,Cell Adhesion and Interaction,System and Developmental Process,Protein Metabolism and Trafficking,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_EIF2_ALPHA_PHOSPHORYLATION,,,,Protein Metabolism and Trafficking,Signal Transduction,Transcription and Translation Machinery,Response to Stimulus,Apoptosis
GOBP_REGULATION_OF_DNA_PRIMASE_ACTIVITY,,,,DNA Repair,Cell Cycle,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOBP_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS,GO:1903943,,,Apoptosis,System and Developmental Process,Signal Transduction,Response to Stimulus,Cell Cycle
GOBP_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL,GO:1904152,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus,Signal Transduction
GOBP_REGULATION_OF_ERAD_PATHWAY,GO:1904292,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis
GOBP_POSITIVE_REGULATION_OF_ERAD_PATHWAY,GO:1904294,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Response to Stimulus,Mitochondrial Function and Metabolism
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,GO:1904376,,,Intracellular Trafficking and Organelle Dynamics,Signal Transduction,Response to Stimulus,Structural Stabilization,Protein Metabolism and Trafficking
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,GO:1904407,biological_process,GO:0008150,Signal Transduction,Immune System and Inflammation,Response to Stimulus,Molecular Transport and Homeostasis,Neurotransmission and Synaptic Regulation
GOBP_NEGATIVE_REGULATION_OF_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,GO:1904673,biological_process,GO:0008150,System and Developmental Process,Neurodevelopment and Neuronal Differentiation,Cell Cycle,Signal Transduction,Epigenetic Regulation
GOBP_REGULATION_OF_METALLOENDOPEPTIDASE_ACTIVITY,,,,Protein Metabolism and Trafficking,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOBP_NEGATIVE_REGULATION_OF_METALLOENDOPEPTIDASE_ACTIVITY,,,,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,GO:1904874,biological_process,GO:0008150,RNA Metabolism,DNA Repair,Intracellular Trafficking and Organelle Dynamics,Epigenetic Regulation,Response to Stimulus
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,GO:1904892,,,Signal Transduction,Immune System and Inflammation,Response to Stimulus,Epigenetic Regulation,Transcription and Translation Machinery
GOCC_NUCLEOLAR_EXOSOME_RNASE_COMPLEX,GO:0101019,cellular_component,GO:0005575,RNA Metabolism,Transcription and Translation Machinery,Epigenetic Regulation,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking
GOCC_CHAPERONE_COMPLEX,,,,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Structural Stabilization,Response to Stimulus,Mitochondrial Function and Metabolism
GOCC_PROCENTRIOLE_REPLICATION_COMPLEX,GO:0120099,cellular_component,GO:0005575,Cell Cycle,Structural Stabilization,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking
GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE,GO:0120103,cellular_component,GO:0005575,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,Cell Adhesion and Interaction,System and Developmental Process,Protein Metabolism and Trafficking
GOCC_CONE_PHOTORECEPTOR_OUTER_SEGMENT,GO:0120199,cellular_component,GO:0005575,Neurodevelopment and Neuronal Differentiation,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus,Structural Stabilization
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,GO:0140534,,,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Lipid Metabolism,Structural Stabilization
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN,GO:1904813,cellular_component,GO:0005575,Immune System and Inflammation,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis
GOCC_PEPTIDASE_COMPLEX,GO:1905368,cellular_component,GO:0005575,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Autophagy,Response to Stimulus,Signal Transduction
GOCC_ENDOPEPTIDASE_COMPLEX,GO:1905369,cellular_component,GO:0005575,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process
GOCC_MITOTIC_SPINDLE_MIDZONE,GO:1990023,cellular_component,GO:0005575,Cell Cycle,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Molecular Transport and Homeostasis
GOCC_SPERMATOPROTEASOME_COMPLEX,GO:1990111,cellular_component,GO:0005575,Protein Metabolism and Trafficking,System and Developmental Process,Epigenetic Regulation,Immune System and Inflammation,Response to Stimulus
GOCC_MESSENGER_RIBONUCLEOPROTEIN_COMPLEX,,,,RNA Metabolism,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Transcription and Translation Machinery
GOCC_OXIDOREDUCTASE_COMPLEX,GO:1990204,cellular_component,GO:0005575,Mitochondrial Function and Metabolism,Lipid Metabolism,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus
GOCC_DNA_REPAIR_COMPLEX,GO:1990391,cellular_component,GO:0005575,DNA Repair,Molecular Transport and Homeostasis,Cell Cycle,Signal Transduction,Response to Stimulus
GOCC_MITOTIC_SPINDLE_MICROTUBULE,GO:1990498,cellular_component,GO:0005575,Cell Cycle,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Molecular Transport and Homeostasis
GOCC_LSM1_7_PAT1_COMPLEX,GO:1990726,cellular_component,GO:0005575,RNA Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus
GOCC_MICROTUBULE_END,GO:1990752,cellular_component,GO:0005575,Structural Stabilization,Cell Cycle,Intracellular Trafficking and Organelle Dynamics,Signal Transduction,Response to Stimulus
GOCC_WNT_SIGNALOSOME,GO:1990909,cellular_component,GO:0005575,Signal Transduction,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Transcription and Translation Machinery
GOMF_DNA_SECONDARY_STRUCTURE_BINDING,GO:0000217,molecular_function,GO:0003674,DNA Repair,Transcription and Translation Machinery,Molecular Transport and Homeostasis,Response to Stimulus,Signal Transduction
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING,GO:0000400,molecular_function,GO:0003674,DNA Repair,Transcription and Translation Machinery,Molecular Transport and Homeostasis,Response to Stimulus,Epigenetic Regulation
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,GO:0000774,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Response to Stimulus
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY,GO:0000900,molecular_function,GO:0003674,Transcription and Translation Machinery,RNA Metabolism,Protein Metabolism and Trafficking,Epigenetic Regulation,Signal Transduction
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING,GO:0001091,molecular_function,GO:0003674,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Signal Transduction,Epigenetic Regulation,Response to Stimulus
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING,,,,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Response to Stimulus,System and Developmental Process
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING,GO:0001098,,,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Signal Transduction,Response to Stimulus
GOMF_TRANSCRIPTION_COREGULATOR_BINDING,GO:0001221,molecular_function,GO:0003674,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Protein Metabolism and Trafficking,System and Developmental Process
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING,GO:0001223,molecular_function,GO:0003674,Transcription and Translation Machinery,Signal Transduction,Epigenetic Regulation,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY,GO:0001517,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Cell Adhesion and Interaction,Structural Stabilization,System and Developmental Process
GOMF_LIPOPOLYSACCHARIDE_BINDING,GO:0001530,molecular_function,GO:0003674,Immune System and Inflammation,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY,GO:0001665,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Lipid Metabolism,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,Signal Transduction
GOMF_ATPASE_ACTIVATOR_ACTIVITY,GO:0001671,molecular_function,GO:0003674,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Signal Transduction
GOMF_LIPID_KINASE_ACTIVITY,GO:0001727,molecular_function,GO:0003674,Lipid Metabolism,Mitochondrial Function and Metabolism,Signal Transduction,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics
GOMF_PROTEASE_BINDING,GO:0002020,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Apoptosis,Autophagy,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus
GOMF_DNA_HELICASE_ACTIVITY,GO:0003678,molecular_function,GO:0003674,DNA Repair,DNA Replication,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING,GO:0003680,molecular_function,GO:0003674,Transcription and Translation Machinery,Epigenetic Regulation,DNA Repair,Response to Stimulus,Signal Transduction
GOMF_DNA_REPLICATION_ORIGIN_BINDING,GO:0003688,molecular_function,GO:0003674,Cell Cycle,Transcription and Translation Machinery,Epigenetic Regulation,DNA Repair,Signal Transduction
GOMF_TELOMERASE_ACTIVITY,GO:0003720,molecular_function,GO:0003674,DNA Repair,RNA Metabolism,Cell Cycle,Epigenetic Regulation,Mitochondrial Function and Metabolism
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GO:0003735,molecular_function,GO:0003674,Transcription and Translation Machinery,Protein Metabolism and Trafficking,RNA Metabolism,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics
GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY,GO:0003746,molecular_function,GO:0003674,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY,GO:0003756,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Structural Stabilization,Response to Stimulus
GOMF_G_PROTEIN_ACTIVITY,GO:0003925,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics,Cell Adhesion and Interaction
GOMF_N_ACETYLLACTOSAMINE_SYNTHASE_ACTIVITY,GO:0003945,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Cell Adhesion and Interaction,System and Developmental Process,Structural Stabilization
GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY,GO:0003964,molecular_function,GO:0003674,Transcription and Translation Machinery,DNA Repair,RNA Metabolism,Molecular Transport and Homeostasis,Epigenetic Regulation
GOMF_ADENYLATE_KINASE_ACTIVITY,GO:0004017,molecular_function,GO:0003674,Mitochondrial Function and Metabolism,RNA Metabolism,Protein Metabolism and Trafficking,Signal Transduction,Molecular Transport and Homeostasis
GOMF_CARBONYL_REDUCTASE_NADPH_ACTIVITY,GO:0004090,molecular_function,GO:0003674,Lipid Metabolism,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY,GO:0004112,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Epigenetic Regulation,Neurotransmission and Synaptic Regulation
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY,GO:0004115,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,RNA Metabolism,Response to Stimulus,Epigenetic Regulation
GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY,GO:0004176,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Mitochondrial Function and Metabolism,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,GO:0004197,molecular_function,GO:0003674,Apoptosis,Autophagy,Immune System and Inflammation,Protein Metabolism and Trafficking,Transcription and Translation Machinery
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY,GO:0004439,molecular_function,GO:0003674,Lipid Metabolism,Signal Transduction,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_GASTRULATION,GO:0060027,biological_process,GO:0008150,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Response to Stimulus,Signal Transduction
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS,GO:0060029,biological_process,GO:0008150,System and Developmental Process,Neurodevelopment and Neuronal Differentiation,Cell Adhesion and Interaction,Structural Stabilization,Response to Stimulus
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT,GO:0060117,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Response to Stimulus
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO:0060142,,,Cell Adhesion and Interaction,System and Developmental Process,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Structural Stabilization
GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO:0060143,biological_process,GO:0008150,Cell Adhesion and Interaction,System and Developmental Process,Structural Stabilization,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION,GO:0060251,biological_process,GO:0008150,Gliogenesis and Glial Differentiation,Neurodevelopment and Neuronal Differentiation,Cell Cycle,Signal Transduction,System and Developmental Process
GOBP_REGULATION_OF_RESPIRATORY_BURST,GO:0060263,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism
GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GO:0060317,biological_process,GO:0008150,Cell Adhesion and Interaction,System and Developmental Process,Structural Stabilization,Response to Stimulus,Signal Transduction
GOBP_TYPE_II_INTERFERON_MEDIATED_SIGNALING_PATHWAY,GO:0060333,biological_process,GO:0008150,Immune System and Inflammation,Signal Transduction,Transcription and Translation Machinery,Response to Stimulus,System and Developmental Process
GOBP_HEART_TRABECULA_FORMATION,GO:0060347,biological_process,GO:0008150,System and Developmental Process,Structural Stabilization,Cell Adhesion and Interaction,Signal Transduction,Response to Stimulus
GOBP_REGULATION_OF_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY,GO:0060398,biological_process,GO:0008150,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process,Protein Metabolism and Trafficking
GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS,GO:0060412,biological_process,GO:0008150,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Response to Stimulus,Signal Transduction
GOBP_BRONCHUS_DEVELOPMENT,GO:0060433,biological_process,GO:0008150,System and Developmental Process,Structural Stabilization,Molecular Transport and Homeostasis,Signal Transduction,Cell Adhesion and Interaction
GOBP_TRACHEA_FORMATION,GO:0060440,biological_process,GO:0008150,System and Developmental Process,Structural Stabilization,Response to Stimulus,Cell Adhesion and Interaction,Molecular Transport and Homeostasis
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,GO:0060452,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Molecular Transport and Homeostasis,System and Developmental Process,Structural Stabilization
GOBP_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT,GO:0060481,biological_process,GO:0008150,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Signal Transduction,Response to Stimulus
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,GO:0060538,biological_process,GO:0008150,System and Developmental Process,Structural Stabilization,Neurodevelopment and Neuronal Differentiation,Cell Adhesion and Interaction,Signal Transduction
GOBP_INTESTINAL_EPITHELIAL_CELL_MATURATION,,,,System and Developmental Process,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,Response to Stimulus,Epigenetic Regulation
GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION,GO:0060623,biological_process,GO:0008150,Cell Cycle,Signal Transduction,System and Developmental Process,Epigenetic Regulation,Structural Stabilization
GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT,GO:0060674,biological_process,GO:0008150,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_BRANCH_ELONGATION_INVOLVED_IN_URETERIC_BUD_BRANCHING,,,,System and Developmental Process,Cell Adhesion and Interaction,Structural Stabilization,Signal Transduction,Cell Cycle
